mod_object_name class red_amplitude red_amplitude2 red_offset red_magnitude green_amplitude green_amplitude2 green_offset green_magnitude delta_time green_brightest red_brightest input_separation input_size input_magnitude normal_separation deltamag_red deltamag_green color model_color Pcc redshift absmag
2019uba SLSN-II -0.026095140384811553 0.6 0.37180737537346076 18.98759339466615 -0.04380103459929429 0.6 -8.377291512114809 19.034313246282824 30.711875000037253 19.0247898101807 19.1109447479248 8.995316550693328 0.9849448 19.060560000000002 9.132812875090389 -0.050384747924798745 0.0357701898193028 0.046719851616675356 0.048140250947451335 0.029398018267648318 0.302 -21.928142361311398
2008es SLSN-II nan nan nan nan nan nan nan nan nan nan nan 0.0 0.0 23.2 0.0 nan nan nan nan 0.16124646385212038 0.213 nan
2017bcc SLSN-II -0.02358703795126708 0.6 -25.971580769831878 18.306774617075746 -0.02062677598426156 0.6 -21.95931963971246 18.80350537138269 32.280606944448664 18.7844 18.2935 0.30234086349799094 0.8920768 17.747799999999998 0.3389179760060916 -0.5457000000000036 -1.0366000000000035 0.49673075430694524 0.497964480224784 0.0004248758927758445 0.133 -20.75724468250594
2019ibk SNII nan nan nan nan nan nan nan nan nan nan nan 12.211308052514212 6.434216 15.49061 1.8978703936134895 nan nan nan nan 0.007322186584644341 0.040164 nan
2019hsy SNIa -0.1491936005525285 0.6 -3.4397194270443627 18.778176511903325 -0.16799602569403688 0.6 -4.188234190965938 18.728750057663568 11.93559024440765 18.5717277526855 18.6048488616943 0.44482440032055454 3.4311593251310666 16.0361 0.12964259545235857 -2.5687488616942993 -2.5356277526854996 -0.049426454239757334 0.03720704849801848 0.0016700639391392658 0.069 -18.92870525673144
2019hql SNIa -0.12716126143561757 0.6 -2.9630259108486334 18.61210106555988 -0.16023099209539937 0.6 -4.011236312155858 18.48288883599299 10.994571710965829 18.3808326721191 18.4715766906738 26.346983846201923 2.643502 16.2314 9.966697148782911 -2.240176690673799 -2.149432672119101 -0.12921222956688894 -0.02347767352871344 0.029172661565386115 0.07 -19.09472838722838
2019hqh SNIa -0.10208582836002458 0.6 0.30460028613910434 18.713759056242733 -0.08764196316120254 0.6 -20.258123095512918 18.35078430783854 6.020972300211724 18.6027507781982 18.6427669525146 0.9445612037857197 1.45504 16.78061 0.6491651114647843 -1.8621569525145993 -1.8221407781982002 -0.3629747484041914 0.5814036389881778 0.0005823797024476773 0.08 -19.22844099815169
2019hqg SNIa -0.108496905550788 0.6 -0.7836268222334837 18.646093886196542 -0.1330982326411324 0.6 -2.2217542765535936 18.568419617556415 10.00332171854825 18.4511795043945 18.5258655548096 2.7688935844919254 2.002201 17.144025 1.382924883411768 -1.3818405548095996 -1.3071545043945 -0.07767426864012705 -0.04147471249221013 0.0019422785551403976 0.07 -19.04043952309258
2019hnu SNIa -0.09908013066915274 0.6 0.04620657185694012 18.06500253143133 -0.09824405586961811 0.6 -2.3079013124375543 18.011545784135784 14.994814803627378 17.8583850860596 17.9167194366455 5.94806582593254 3.437263 16.48565 1.7304657298357848 -1.431069436645501 -1.372735086059599 -0.05345674729554517 -0.029599724253976945 0.004101809109775645 0.06 -19.29969095794305
2019hnn SNIa -0.11620437904741943 0.6 0.027816511775807906 18.731383227386075 -0.1276945743323069 0.6 -1.1701629241296363 18.750102350033657 9.017592600081116 18.6418399810791 18.6483936309814 9.361918884352086 1.8052036544832386 15.7525 5.186073527550025 -2.8958936309813996 -2.889339981079102 0.0187191226475818 0.029341704399627133 0.0028646271482114516 0.08 -19.22281431968489
