mod_object_name class red_amplitude red_amplitude2 red_offset red_magnitude green_amplitude green_amplitude2 green_offset green_magnitude delta_time green_brightest red_brightest input_separation input_size input_magnitude normal_separation deltamag_red deltamag_green color model_color Pcc redshift absmag
2019uba SLSN-II -0.036421434877775695 0.6 -11.987509827054268 19.21244584625472 -0.047389908612709745 0.6 -12.801501825336517 19.258751184411445 30.711875000037253 18.9314079284668 18.9652671813965 8.995316550693328 0.9849448 19.060560000000002 9.132812875090389 0.0952928186035038 0.12915207153320196 0.04630533815672422 0.1153042552561736 0.029398018267648318 0.302 -22.0738199278397
2008es SLSN-II nan nan nan nan nan nan nan nan nan nan nan 0.0 0.0 23.2 0.0 nan nan nan nan 0.16124646385212038 0.213 nan
2017bcc SLSN-II -0.028682859335251373 0.6 -8.426575134454465 17.990932396650155 -0.006514089135268534 0.6 40.607198247897614 18.60596753661412 32.280606944448664 18.5495 16.6154 0.30234086349799094 0.8920768 17.747799999999998 0.3389179760060916 1.132399999999997 -0.8017000000000003 0.6150351399639646 0.6263289304880288 0.0004248758927758445 0.133 -22.435344682505942
2019ibk SNII -0.016135496279743644 0.6 -35.45456775124934 18.960169259694922 -0.01763678918446783 0.6 -32.99373503536275 18.855342483005856 37.84013890018832 18.7072677612305 18.79 12.211308052514212 6.434216 15.49061 1.8978703936134895 -3.299389999999999 -3.2166577612305005 -0.10482677668906604 -0.10051872264640949 0.007322186584644341 0.040164 -17.524105592092916
2019hsy SNIa -0.12402933703360088 0.6 -3.553607230135306 18.84444240752161 -0.1675543587079265 0.6 -4.179964724681241 18.729293845691778 11.93559024440765 18.5717277526855 18.6048488616943 0.44482440032055454 3.4311593251310666 16.0361 0.12964259545235857 -2.5687488616942993 -2.5356277526854996 -0.11514856182983024 -0.0026804284041617166 0.0016700639391392658 0.069 -18.92870525673144
2019hql SNIa -0.10576440881903976 0.6 -3.1310052234760515 18.6706341813382 -0.1610092954831502 0.6 -4.024835672887041 18.481588509259016 10.994571710965829 18.3808326721191 18.4715766906738 26.346983846201923 2.643502 16.2314 9.966697148782911 -2.240176690673799 -2.149432672119101 -0.18904567207918532 -0.06718475173010319 0.029172661565386115 0.07 -19.09472838722838
2019hqh SNIa -0.07996162375717994 0.6 0.4792422044901442 18.800311566412333 -0.15180897477244198 0.6 -0.4068202233496194 18.538289327294244 6.020972300211724 18.6027507781982 18.6427669525146 0.9445612037857197 1.45504 16.78061 0.6491651114647843 -1.8621569525145993 -1.8221407781982002 -0.26202223911808886 -0.2608975341226163 0.0005823797024476773 0.08 -19.22844099815169
2019hqg SNIa -0.09276407274127263 0.6 0.1989905803688271 18.691393634811295 -0.13544161419498044 0.6 -2.3112647135106483 18.56738552258774 10.00332171854825 18.4511795043945 18.5258655548096 2.7688935844919254 2.002201 17.144025 1.382924883411768 -1.3818405548095996 -1.3071545043945 -0.12400811222355301 -0.07991849018082675 0.0019422785551403976 0.07 -19.04043952309258
2019hnu SNIa -0.09581007894122939 0.6 0.1887690737276834 18.076355702510078 -0.11468602508012436 0.6 -3.782391551193051 17.990440320553944 14.994814803627378 17.8583850860596 17.9167194366455 5.94806582593254 3.437263 16.48565 1.7304657298357848 -1.431069436645501 -1.372735086059599 -0.08591538195613424 -0.004242489077171285 0.004101809109775645 0.06 -19.29969095794305
2019hnn SNIa -0.09288713144846533 0.6 1.317733139139523 18.77931603129734 -0.13421288483074076 0.6 -1.2619184685037121 18.733730792870556 9.017592600081116 18.6418399810791 18.6483936309814 9.361918884352086 1.8052036544832386 15.7525 5.186073527550025 -2.8958936309813996 -2.889339981079102 -0.04558523842678497 -0.03982556524279701 0.0028646271482114516 0.08 -19.22281431968489
2019hmc SNIa -0.1050351227437744 0.6 -10.83082934221435 18.834221764099844 -0.051835759312412744 0.6 -15.077034436430147 19.066783826487175 17.955474500078708 19.0963268280029 18.7903060913086 4.020607085377622 3.046383 19.04967 1.3197969806743348 0.25936390869139814 -0.04665682800290227 0.23256206238733057 0.01359760106939234 0.018424737871796992 0.045031 -17.77979607669294
2019hlx SNIa -0.07717019346381557 0.6 -26.316160951902155 18.035146852177604 -0.18763978643781817 0.6 -6.595001903515273 18.220104035033398 3.637978807091713e-11 18.24 18.8189163208008 1.9342110414066662 1.059379 18.26549 1.825797039026322 -0.5534263208007992 0.025490000000001345 0.18495718285579343 -0.4494957382254441 0.0015816280175499076 0.07 -18.74738875710138
2019hko SNIa -0.11150666238219795 0.6 -4.488485689507006 19.059575174649282 -0.15463845237988824 0.6 -6.412858773260819 18.865423342081165 13.737891377524647 18.7864780426025 18.8324794769287 9.355208224731248 1.8839793363461828 16.4694 4.965663924358574 -2.3630794769287 -2.3170780426024997 -0.1941518325681173 0.06175179108713991 0.004984630656157396 0.09 -19.309220729852935
2019hkn SNIa -0.09931289014985753 0.6 -1.8377566890840604 18.613141215585564 -0.13813413173457922 0.6 -3.007677662331894 18.41271366252569 9.996909700334072 18.3288402557373 18.4634628295898 0.044921861618735584 1.206977 17.134175 0.03721849017730709 -1.329287829589802 -1.194665255737302 -0.2004275530598747 -0.1406167593292551 0.00047446403403028636 0.0822 -19.469912971950535
2019ibc Varstar -0.1911104217175664 0.6 -36.481760425180696 12.74385370385166 -0.2512962396786951 0.6 -30.454825087146972 12.029575581419975 0.46753469994291663 15.5289001464844 15.8 0.2771110682835558 0.6687169460433503 23.25531 0.41439217283659474 7.455310000000001 7.726409853515602 -0.7142781224316845 -0.033602920172466355 0.01577697656885002 0.0 0.0
2019hkl SNIa -0.091955961889452 0.6 -5.271381915618028 18.55977522712803 -0.125962957660658 0.6 -7.353295683647634 18.530611214797233 16.022719936954672 18.4537048339844 18.4088306427002 0.9657895882670988 2.623391 17.305844999999998 0.3681454988094031 -1.102985642700201 -1.147859833984402 -0.029164012330795686 0.19252237156583618 0.0026365334692052267 0.06965 -19.14606291206883
2019hkd SNIa -0.07078499940202723 0.6 -36.549462105439304 17.690095100632057 -0.3020875221091077 0.6 -8.489538141137444 17.879765067583445 8.869004699998186 20.1466598510742 18.37 7.559153982118206 6.354542 14.428025000000002 1.1895670816430524 -3.9419749999999993 -5.718634851074199 0.1896699669513886 0.16881719907249604 0.0022748178437446143 0.035741 -17.68377901653258
