object_name red_amplitude red_amplitude2 red_offset red_magnitude green_amplitude green_amplitude2 green_offset green_magnitude delta_time input_separation input_size normal_separation deltamag_red deltamag_green model_color Pcc redshift absmag class
2019hpv -0.08478500686339074 0.6 4.253866195893628 18.5220743969459 -0.048468922631449245 0.6 -18.110276131412682 18.670946979437975 5.9754861001856625 14.09654033433698 6.9863504028498715 2.017725925769014 -5.329095404813922 -5.467989490335674 -0.1266367614645496 0.0015626795357993606 0.034033 -17.459457147002315 SNII
2021mzb -0.1304329526202091 0.6 -4.883151824225099 18.01318250636011 -0.16505234416435666 0.6 -5.188669279884957 17.88682492412451 12.955960599705577 2.071236450909996 1.7061356014137643 1.2139928673862126 0.21141616703580368 0.2789823268855578 -0.09890028185086308 0.002659997462301167 0.055 -19.152608659397995 SNIa
2019dfa -0.13045140210701925 0.6 -4.416694213578603 16.485004775279318 -0.14490488902354476 0.6 -5.1410006873844605 16.477650743629415 14.842499999911524 10.763091166558791 7.542095632903039 1.4270690389556826 -2.7328854383863597 -2.740408818163983 0.006626114245655401 0.001960663310480504 0.02544 -18.930403813592118 SNIa
2020uma -0.10699458574336837 0.6 -0.18724265134282625 17.714621077589502 -0.13598083634545333 0.6 -1.441763974138525 17.58123820834576 9.979606499895453 7.295299513535475 0.8983094760652475 8.121142777531594 -1.7829138699060962 -1.6817351981335449 -0.18596800440710126 0.0017027575911288118 0.076 -20.144640290916673 SNIa
2020abbl -0.026775375550482598 0.6 -19.21224533345484 18.075595304057806 -0.05481008211222879 0.6 -22.83574068373752 17.89931357639411 0.0 3.845152358946899 4.218779 0.9114372568335292 -2.3083936576670556 -2.2818040068270324 -0.04576515798466829 0.0023472786503568877 0.021131 -16.885491745608242 SNII
2018bym -0.03246033657957957 0.6 -13.966892982478507 18.521265403291395 -0.0444111538610361 0.6 -19.805145895142044 18.448378219171857 49.7602809999953 0.7141368877598063 0.7499253493177546 0.9522773012133716 3.8967873135476836 4.011043832298668 -0.11999189580860303 0.011186438623630557 0.274 -22.41053411700678 SLSN-I
2019cac -0.015061920965215064 0.6 -4.3599760792021875 18.933292145225447 -0.03259767665954991 0.6 -3.0757868386367213 18.825252010399808 20.89966430002096 0.9965683248415667 0.5622613 1.7724291621023298 4.265151761831568 4.322110999058605 -0.11912497945920109 0.01726283205998247 0.0467 -17.7956430781725 SNIIn
2020prg -0.037270283184234185 0.6 -9.21920934393895 18.60898241697028 -0.03225369135710865 0.6 -8.612477098887254 18.39553071459752 6.060347200371325 5.113733281491268 1.003791133496843 5.094419656484594 1.2376204326972093 1.3122818450802498 -0.20469319375101946 0.016839581602845932 0.08 -19.432735100867085 SNIa
2019vzf -0.016753495245897462 0.6 31.57029276980819 17.31494072834562 -0.01740260778586091 0.6 27.099496597762943 17.20341210228589 33.89611109998077 2.9197487610731128 2.671444171077794 1.0929476994816405 -2.274451260605815 -2.041977408607927 -0.17166897575716078 0.0007516814796638682 0.06 -19.639047632465726 SNIa
2020ule -0.128286031186388 0.6 -2.7703250301122004 19.14753126651124 -0.15118059300044037 0.6 -3.1908047234220405 19.124916754843596 9.12991899996996 0.25369017500663893 2.132283 0.11897584654881126 -2.4587599468729096 -2.632381808219698 -0.030007842326781997 0.0008884368668894416 0.11 -19.69178162599918 SNIa
2021tuo -0.07468220419312999 0.6 -4.3683073526886105 18.928645341861607 -0.11085758685305315 0.6 -4.895698081067819 18.79276632960157 10.028715200256556 1.1377179684355778 2.456729 0.46310275510061455 -0.0799349412085597 0.07073814450715332 -0.14645818684866185 0.007004556562994035 0.104 -19.655679850571477 SNIa
2006fg -0.018909778915271517 0.6 -47.741447547207926 19.118247310640413 -0.03241136308355644 0.6 -48.99618252739877 18.96238998583081 0.32728099999803817 0.32121931273669885 0.6756346 0.4754334854027589 0.699551773104993 0.6436264927782069 0.05418061958635079 0.0011239078475800968 0.04458 -17.524660291613266 SNII
2020unm -0.0813833877021099 0.6 -45.207762261707245 15.557932030181266 -0.07794166945401795 0.6 -39.838890926459186 17.290375164953105 0.0 8.258256831072291 3.8538383724298213 2.142865380694601 -6.281419664320751 -7.691257039634827 1.4075878828672757 6.170818623918439e-05 0.00898 -16.3441904447469 SNIa
2018ijp nan nan nan nan nan nan nan nan nan 4.990960761522527 3.091339 1.6144980416326151 nan nan nan 0.0065551841738116234 0.0848 nan SNIc
2019hsz -0.10101022871103693 0.6 -4.599395298705742 18.666266873990995 -0.07575796031740628 0.6 -1.2577874848519945 18.45968765033395 11.937291644331708 1.9846234823281887 3.7776955858711387 0.5253529399644661 -2.9531794946813736 -2.9190737241097136 -0.14744197764011702 0.0014812714187592002 0.086 -19.543637679629533 SNIa
2019dfv -0.09102294962195248 0.6 -4.241780277043144 18.427553555353146 -0.09123702340034517 0.6 -4.908667159870847 18.22408568028733 14.916539303616446 0.41269299710258417 1.207073 0.3418956410279943 1.4866269385118116 1.6632800435318913 -0.20712003682039537 0.0036391831148294695 0.09 -19.85076421562532 SNIa
2021hdw -0.10605593082895681 0.6 -2.357377178754209 17.83510379908952 -0.14085563739948545 0.6 -3.4219342973915294 18.525600328430514 8.952013799920678 0.5245896591695898 8.481731 0.06184936296253557 -3.434977860342441 -4.146659343872786 0.668445303124269 0.0026295926399338976 0.03419 -18.26610134850902 SNIa
2020kfb -0.09457125146693807 0.6 -3.1730441554509508 18.723165992954186 -0.14861634206288168 0.6 -3.496379544905915 18.5199282141898 12.115416599903256 0.2658831338361926 0.8432509098910795 0.31530725993587844 2.3894574358462357 2.483314373324692 -0.21752640717723537 0.004103337709371102 0.072 -19.134455064639667 SNIa
2020pst -0.12044744343611224 0.6 -3.1028973511502076 17.404260066153924 -0.14989430545547738 0.6 -3.8440433556304034 17.231834338803118 14.999791700392962 5.193479513350709 0.8064699144693295 6.439768452823319 -1.192410986338622 -1.0316489633303476 -0.17707584848894697 0.0010882794820766817 0.046 -19.337991222937653 SNIa
