object_name red_amplitude red_amplitude2 red_offset red_magnitude green_amplitude green_amplitude2 green_offset green_magnitude delta_time input_separation input_size normal_separation deltamag_red deltamag_green model_color Pcc redshift absmag class
2020odj -0.037731843396850984 0.6 -3.2081781483042886 18.338834206159294 -0.14111425027042965 0.6 -3.4981733450879418 18.14105254310074 11.885914400219917 0.0 0.0 0.0 4.934073333039855 5.171402323585564 -0.2498167202936834 0.10571952467775958 0.07 -19.302698728843676 SNIa
2018jme -0.14188094984146943 0.6 -4.070202152504499 18.27928614747742 -0.09454050012161316 0.6 -12.828183200077882 18.573090920404166 10.201469900137454 21.07982650596266 5.741184950635131 3.6716856689368034 -4.278368400939488 -4.635795205531654 0.41104382907763437 0.003970963397311178 0.036939 -17.961735486163665 SNIc
2021bkw -0.1556516430072546 0.6 -1.8840288588890715 15.751347972233798 -0.18533061678652263 0.6 -1.6461335118018166 15.688229467743389 2.0402082996442914 0.9519574712872827 5.039085 0.18891474767488198 -0.39121233976740477 -0.38045749986247834 -0.06479129167193243 0.0020092453421521883 0.0182 -18.909573369086207 SNIa
2019kwt nan nan nan nan nan nan nan nan 152.84550899999886 1.35976996560432 0.8018845970234287 1.6957177761634838 nan nan nan 0.02009561966086093 0.3562 nan SLSN-I
2020cpb -0.09537053965429115 0.6 -20.472345134731352 17.7893932073574 -0.14864162529325275 0.6 -21.966573932254185 17.56407352317445 28.68728429984185 3.651298386546014 2.065371 1.7678656215014223 3.7119937070368927 3.8562869072959316 -0.1768700256613549 0.06131143941745576 0.05 -19.1195486638206 SNIa
2020qnz -0.06341350057760275 0.6 0.3873838852558491 18.09780567723196 -0.03537511449192477 0.6 -2.2874153406024877 17.910680564488885 19.795983800198883 10.9490712511961 2.172463 5.039934512668847 -2.9733087698555174 -2.7487601737469873 -0.22643522471252098 0.0026796244484312837 0.06624 -19.227432485376433 SNIa
2019lsm -0.03734120704073496 0.6 -8.820401337082938 18.40994378971704 -0.3424401285397085 0.6 -1.2743204992988377 17.963957086016144 5.075995300001523 6.163486486108782 4.245329 1.451827758486747 -0.9216143793247547 -0.5723153823615874 -0.454786037854813 0.010056674614913996 0.04168 -18.182842494263515 SNIbn
2019wds -0.15340412006511236 0.6 -4.737056792753763 17.654672993491488 -0.15334010764556577 0.6 -7.70046393867467 17.386164217473386 8.06009260006249 0.5178204648048866 3.090065 0.16757591338851663 -2.8411641983448206 -2.696674346488539 -0.17251875687049534 0.0005034210592007593 0.05 -19.23729624026625 SNIa
2020qlr -0.09454637072394222 0.6 -5.312124913140346 18.219818491141154 -0.12597044698233278 0.6 -7.857333959977968 18.27333036739483 16.73591439984739 3.282931198422043 2.32154 1.414117869354843 -0.40926382300891717 -0.4214858603526288 0.1125234932776138 0.0040378489441749155 0.05 -18.698478028671268 SNIa
2021bjd -0.06290788812885516 0.6 -21.0403047058525 17.839366803896063 -0.09397677919658269 0.6 -11.31683556790491 17.63987522561988 7.94491899991408 0.08415091210185191 1.147505 0.07333380865604237 2.449892771667052 2.7117693266607112 -0.2764769329733987 0.004901124433134729 0.068 -19.610779252377288 SNIa
2021lgl -0.024271310694224897 0.6 -4.829865843490392 18.56085779063365 -0.025268457271685155 0.6 -3.616908575280073 18.287673218797458 8.877025499939919 2.8094120377671405 2.2911901163545747 1.226180236076214 -0.6615139662250407 -0.4414304253508803 -0.26540945494015133 0.00384538717807803 0.09 -19.69882012799698 SNIa
2020cpu -0.11577920058220768 0.6 -7.5953097805032135 17.9897727631517 -0.047433133341545225 0.6 -21.696324583955228 18.05822526109469 16.953888922223996 5.650396466581093 7.534808 0.7499058325814132 -2.5580855466958816 -2.597317063730433 0.10057894070981277 0.005654340681441994 0.03276 -17.896220390279826 SNII
2018jlv -0.2428723978875037 0.6 -27.342558698052855 12.13282061610951 -0.2132307048639216 0.6 -13.145363091346315 14.963980250580919 0.15363429998978972 0.16992457293509416 0.8546094 0.19883302586549384 7.3053355478038515 5.504488177914947 0.5878271428180195 0.012971972448600377 0.0 0.0 CV
2020akj -0.09254265653493511 0.6 -13.411961383726636 17.948453447216142 -0.08624706145848002 0.6 -19.9195211525347 17.732219154075068 6.045543999876827 5.010157578657752 2.790744 1.7952766640930706 0.9629060380934718 1.1563077825726644 -0.03976007578691565 0.019842907667533605 0.07 -19.454648887017473 SNIa
