mod_object_name class red_amplitude red_amplitude2 red_offset red_magnitude green_amplitude green_amplitude2 green_offset green_magnitude average_amplitude average_offset average_magnitude delta_time green_brightest red_brightest input_separation input_size input_magnitude normal_separation deltamag_red deltamag_green color model_color Pcc redshift absmag
2019uba SLSN-II -0.020350243434066703 1.0 -3.4523902218856612 19.16232618041925 -0.02732420490510593 1.0 2.3413100108843223 19.34418871963936 -0.024219799751117783 1.1269762364429796 19.246781049642426 30.711875000037253 18.9314079284668 18.9652671813965 8.995316550693328 0.9849448 19.060560000000002 9.132812875090389 0.0952928186035038 0.12915207153320196 0.1818625392201092 0.18154202441917278 0.029398018267648318 0.302 -22.0738199278397
2008es SLSN-II nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0 0.0 23.2 0.0 nan nan nan nan 0.16124646385212038 0.213 nan
2017bcc SLSN-II -0.022600927323533707 1.0 10.279792219153222 17.894088526050474 -0.009035542530516708 1.0 47.869722531855885 18.611746940072592 -0.015442779389186326 15.710566879495426 18.29282087396268 32.280606944448664 18.5495 16.6154 0.30234086349799094 0.8920768 17.747799999999998 0.3389179760060916 1.132399999999997 -0.8017000000000003 0.717658414022118 0.7970728264505667 0.0004248758927758445 0.133 -22.435344682505942
2019ibk SNII -0.009182850420071411 1.0 -27.00114809449338 18.847339656860484 -0.01040016696648877 1.0 -26.146464265379443 18.733918454422163 -0.009776570841746077 -26.562358236335786 18.799384649219544 37.84013890018832 18.7072677612305 18.79 12.211308052514212 6.434216 15.49061 1.8978703936134895 -3.299389999999999 -3.2166577612305005 -0.11342120243832099 -0.10793259670093036 0.007322186584644341 0.040164 -17.524105592092916
2019hsy SNIa -0.08973629078468451 1.0 0.9705505668723271 18.776966208734716 -0.1311900892974422 1.0 -0.5599150254643949 18.62988955647965 -0.11387647439193023 -0.0901525392260211 18.710293881263002 11.93559024440765 18.5717277526855 18.6048488616943 0.44482440032055454 3.4311593251310666 16.0361 0.12964259545235857 -2.5687488616942993 -2.5356277526854996 -0.14707665225506616 -0.14834886613877885 0.0016700639391392658 0.069 -18.92870525673144
2019hql SNIa -0.07430521791631961 1.0 2.087883867480034 18.603084813820832 -0.12429171942186093 1.0 -0.21764862178932454 18.386318316604754 -0.09686428466807565 0.44857402993101514 18.50165737966919 10.994571710965829 18.3808326721191 18.4715766906738 26.346983846201923 2.643502 16.2314 9.966697148782911 -2.240176690673799 -2.149432672119101 -0.21676649721607788 -0.22908542764909967 0.029172661565386115 0.07 -19.09472838722838
2019hqh SNIa -0.05801833988056685 1.0 7.549519910103028 18.737058727512423 -0.09293458530666777 1.0 0.49255928454129827 18.461057886257013 -0.06515554851556006 7.080150377993727 18.689887590015683 6.020972300211724 18.6027507781982 18.6427669525146 0.9445612037857197 1.45504 16.78061 0.6491651114647843 -1.8621569525145993 -1.8221407781982002 -0.27600084125541 -0.38654769836016456 0.0005823797024476773 0.08 -19.22844099815169
2019hqg SNIa -0.0677597404449452 1.0 6.9779291413741324 18.616096217392215 -0.1013809282921513 1.0 2.007554085104549 18.4696264314857 -0.07775797866271222 4.615716557306951 18.549080875194207 10.00332171854825 18.4511795043945 18.5258655548096 2.7688935844919254 2.002201 17.144025 1.382924883411768 -1.3818405548095996 -1.3071545043945 -0.14646978590651472 -0.2559725342949548 0.0019422785551403976 0.07 -19.04043952309258
2019hnu SNIa -0.0731364321878574 1.0 6.380091703218052 17.977130631644798 -0.08998170010783607 1.0 1.567640505030922 17.878166051282317 -0.08140322216998447 3.833652295548603 17.937064310618617 14.994814803627378 17.8583850860596 17.9167194366455 5.94806582593254 3.437263 16.48565 1.7304657298357848 -1.431069436645501 -1.372735086059599 -0.09896458036248035 -0.2165046467188958 0.004101809109775645 0.06 -19.29969095794305
2019hnn SNIa -0.07128562922842602 1.0 7.700563560871922 18.686207727880777 -0.10227997343223745 1.0 3.1648011130750433 18.652279138671716 -0.08466320127809912 4.85987763091114 18.66774455118684 9.017592600081116 18.6418399810791 18.6483936309814 9.361918884352086 1.8052036544832386 15.7525 5.186073527550025 -2.8958936309813996 -2.889339981079102 -0.0339285892090615 -0.15787402060692912 0.0028646271482114516 0.08 -19.22281431968489
