mod_object_name class red_amplitude red_amplitude2 red_offset red_magnitude green_amplitude green_amplitude2 green_offset green_magnitude delta_time green_brightest red_brightest input_separation input_size input_magnitude normal_separation deltamag_red deltamag_green color model_color Pcc redshift absmag
2019uba SLSN-II -0.036089463371654425 0.6 -12.287194207116087 19.216106543322816 -0.047377494825681335 0.6 -12.768684098528215 19.26530557148651 30.711875000037253 18.9314079284668 18.9652671813965 8.995316550693328 0.9849448 19.060560000000002 9.132812875090389 0.0952928186035038 0.12915207153320196 0.04919902816369515 0.11498585804130457 0.029398018267648318 0.302 -22.0738199278397
2008es SLSN-II nan nan nan nan nan nan nan nan nan nan nan 0.0 0.0 23.2 0.0 nan nan nan nan 0.16124646385212038 0.213 nan
2017bcc SLSN-II -0.028798743576563784 0.6 -8.346187471821736 17.990464452884716 -0.006535573419743975 0.6 41.99215440273766 18.60165157674587 32.280606944448664 18.5495 16.6154 0.30234086349799094 0.8920768 17.747799999999998 0.3389179760060916 1.132399999999997 -0.8017000000000003 0.6111871238611535 0.6258369700947668 0.0004248758927758445 0.133 -22.435344682505942
2019ibk SNII -0.01737910775013066 0.6 -33.45407555139066 18.962585777407558 -0.018404460136105034 0.6 -32.9990466955193 18.863226744530518 37.84013890018832 18.7072677612305 18.79 12.211308052514212 6.434216 15.49061 1.8978703936134895 -3.299389999999999 -3.2166577612305005 -0.09935903287703951 -0.08774157451332698 0.007322186584644341 0.040164 -17.524105592092916
2019hsy SNIa -0.12453934734760451 0.6 -3.5411057281268645 18.84719119337047 -0.16771756488508868 0.6 -4.1802054051115505 18.729018810664684 11.93559024440765 18.5717277526855 18.6048488616943 0.44482440032055454 3.4311593251310666 16.0361 0.12964259545235857 -2.5687488616942993 -2.5356277526854996 -0.11817238270578656 -0.005431312566098967 0.0016700639391392658 0.069 -18.92870525673144
2019hql SNIa -0.10581791799664314 0.6 -3.2139497889890136 18.6706694608 -0.16247055347835382 0.6 -4.082944487553527 18.464823835542646 10.994571710965829 18.3808326721191 18.4715766906738 26.346983846201923 2.643502 16.2314 9.966697148782911 -2.240176690673799 -2.149432672119101 -0.2058456252573535 -0.07916611339266666 0.029172661565386115 0.07 -19.09472838722838
2019hqh SNIa -0.07851880009150235 0.6 0.4430868325100936 18.813382908088734 -0.14419092828649063 0.6 -1.0067297608718795 18.473511850076953 6.020972300211724 18.6027507781982 18.6427669525146 0.9445612037857197 1.45504 16.78061 0.6491651114647843 -1.8621569525145993 -1.8221407781982002 -0.33987105801178075 -0.33043925629268145 0.0005823797024476773 0.08 -19.22844099815169
2019hqg SNIa -0.09306000266036892 0.6 0.20809195511004563 18.68645445521928 -0.13578818927457564 0.6 -2.3997952553193693 18.567609285417973 10.00332171854825 18.4511795043945 18.5258655548096 2.7688935844919254 2.002201 17.144025 1.382924883411768 -1.3818405548095996 -1.3071545043945 -0.11884516980130755 -0.07126656980829793 0.0019422785551403976 0.07 -19.04043952309258
2019hnu SNIa -0.09601429660128671 0.6 0.22474277264292541 18.079853781262003 -0.1146838901090385 0.6 -3.7743554702527486 17.985751408562972 14.994814803627378 17.8583850860596 17.9167194366455 5.94806582593254 3.437263 16.48565 1.7304657298357848 -1.431069436645501 -1.372735086059599 -0.09410237269903021 -0.012826360212795151 0.004101809109775645 0.06 -19.29969095794305
2019hnn SNIa -0.09329324765177839 0.6 1.323179924246409 18.789012110729296 -0.13368231999259592 0.6 -1.260799121157992 18.742643884105043 9.017592600081116 18.6418399810791 18.6483936309814 9.361918884352086 1.8052036544832386 15.7525 5.186073527550025 -2.8958936309813996 -2.889339981079102 -0.046368226624252884 -0.040872356177501956 0.0028646271482114516 0.08 -19.22281431968489
