mod_object_name class red_amplitude red_amplitude2 red_offset red_magnitude green_amplitude green_amplitude2 green_offset green_magnitude delta_time green_brightest red_brightest input_separation input_size input_magnitude normal_separation deltamag_red deltamag_green color model_color Pcc redshift absmag
2019uba SLSN-II -0.044623544295245995 0.6 -10.096669130378672 19.157260695337882 -0.0573731375953566 0.6 -13.756688608996955 19.130284075905237 30.711875000037253 18.9314079284668 18.9652671813965 8.995316550693328 0.9849448 19.060560000000002 9.132812875090389 0.0952928186035038 0.12915207153320196 -0.026976619432645066 0.12863929191640366 0.029398018267648318 0.302 -22.0738199278397
2008es SLSN-II nan nan nan nan nan nan nan nan nan nan nan 0.0 0.0 23.2 0.0 nan nan nan nan 0.16124646385212038 0.213 nan
2017bcc SLSN-II -0.0289039057965148 0.6 -8.29860707116649 17.99018867022563 -0.006632320932306654 0.6 40.08801247588747 18.60741284173036 32.280606944448664 18.5495 16.6154 0.30234086349799094 0.8920768 17.747799999999998 0.3389179760060916 1.132399999999997 -0.8017000000000003 0.6172241715047271 0.6293231682488916 0.0004248758927758445 0.133 -22.435344682505942
2019ibk SNII -0.02023857231341881 0.6 -26.348722146204274 18.945737931032372 -0.020091769187001493 0.6 -29.213138846792663 18.853411148482444 37.84013890018832 18.7072677612305 18.79 12.211308052514212 6.434216 15.49061 1.8978703936134895 -3.299389999999999 -3.2166577612305005 -0.09232678254992877 -0.06930849717377896 0.007322186584644341 0.040164 -17.524105592092916
2019hsy SNIa -0.12404432390028594 0.6 -3.5009843563680896 18.84991354976691 -0.16762118450511526 0.6 -4.165588521523409 18.730999350784757 11.93559024440765 18.5717277526855 18.6048488616943 0.44482440032055454 3.4311593251310666 16.0361 0.12964259545235857 -2.5687488616942993 -2.5356277526854996 -0.11891419898215361 -0.005223584481669263 0.0016700639391392658 0.069 -18.92870525673144
2019hql SNIa -0.1057202765093074 0.6 -3.2281009830604406 18.666932036672804 -0.16157300511516604 0.6 -4.01103233815985 18.47715920551275 10.994571710965829 18.3808326721191 18.4715766906738 26.346983846201923 2.643502 16.2314 9.966697148782911 -2.240176690673799 -2.149432672119101 -0.18977283116005594 -0.0707849682872066 0.029172661565386115 0.07 -19.09472838722838
2019hqh SNIa -0.08018223747240297 0.6 0.42582971258962526 18.802536516165155 -0.1408055229062068 0.6 -1.400917851148984 18.561522505218868 6.020972300211724 18.6027507781982 18.6427669525146 0.9445612037857197 1.45504 16.78061 0.6491651114647843 -1.8621569525145993 -1.8221407781982002 -0.24101401094628727 -0.2233669986900928 0.0005823797024476773 0.08 -19.22844099815169
2019hqg SNIa -0.09254312687992346 0.6 0.18726586965930736 18.691768897867163 -0.1349640854160832 0.6 -2.3873425332146003 18.56738058149468 10.00332171854825 18.4511795043945 18.5258655548096 2.7688935844919254 2.002201 17.144025 1.382924883411768 -1.3818405548095996 -1.3071545043945 -0.12438831637248171 -0.0777845744150838 0.0019422785551403976 0.07 -19.04043952309258
2019hnu SNIa -0.09580383883916167 0.6 0.17988399413628756 18.07761188837126 -0.11502702094082481 0.6 -3.7880840490414465 17.983262993013007 14.994814803627378 17.8583850860596 17.9167194366455 5.94806582593254 3.437263 16.48565 1.7304657298357848 -1.431069436645501 -1.372735086059599 -0.09434889535825164 -0.011975199272519887 0.004101809109775645 0.06 -19.29969095794305
2019hnn SNIa -0.09354728578405902 0.6 1.3351408512120038 18.78019010878868 -0.13418109338749867 0.6 -1.4040836194543806 18.731537850878233 9.017592600081116 18.6418399810791 18.6483936309814 9.361918884352086 1.8052036544832386 15.7525 5.186073527550025 -2.8958936309813996 -2.889339981079102 -0.04865225791044736 -0.040103661565932924 0.0028646271482114516 0.08 -19.22281431968489
2019hmc SNIa -0.10537306481871174 0.6 -10.83562403388406 18.815347991345064 -0.07235667413438665 0.6 -15.14717971306327 19.06922964263956 17.955474500078708 19.0963268280029 18.7903060913086 4.020607085377622 3.046383 19.04967 1.3197969806743348 0.25936390869139814 -0.04665682800290227 0.25388165129449547 0.22305435014943598 0.018424737871796992 0.045031 -17.77979607669294
2019hlx SNIa -0.07761747676757584 0.6 -27.318617761219613 18.00984099722841 -0.1688516343373416 0.6 -15.675037628907464 17.672351184617956 3.637978807091713e-11 18.24 18.8189163208008 1.9342110414066662 1.059379 18.26549 1.825797039026322 -0.5534263208007992 0.025490000000001345 -0.3374898126104533 0.1397611634146152 0.0015816280175499076 0.07 -18.74738875710138
2019hko SNIa -0.11251227612732409 0.6 -4.47372604442422 19.05466389531854 -0.15948445463682814 0.6 -6.311140457322892 18.857504695668627 13.737891377524647 18.7864780426025 18.8324794769287 9.355208224731248 1.8839793363461828 16.4694 4.965663924358574 -2.3630794769287 -2.3170780426024997 -0.19715919964991357 0.06700322417529136 0.004984630656157396 0.09 -19.309220729852935
2019hkn SNIa -0.09848833793650416 0.6 -1.7587173347306275 18.617485138721523 -0.1385201780391264 0.6 -2.9974098508932703 18.414972981511934 9.996909700334072 18.3288402557373 18.4634628295898 0.044921861618735584 1.206977 17.134175 0.03721849017730709 -1.329287829589802 -1.194665255737302 -0.20251215720958982 -0.14127483303140664 0.00047446403403028636 0.0822 -19.469912971950535
2019ibc Varstar -0.19162928168872528 0.6 -34.922760007952256 12.898207613960924 -0.2523055134465987 0.6 -32.20732467303843 11.717465388902006 0.46753469994291663 15.5289001464844 15.8 0.2771110682835558 0.6687169460433503 23.25531 0.41439217283659474 7.455310000000001 7.726409853515602 -1.1807422250589177 0.2521751504130769 0.01577697656885002 0.0 0.0
2019hkl SNIa -0.09206914713763313 0.6 -5.150759994356483 18.55998943238535 -0.12697171038921484 0.6 -7.369134084806372 18.528695198161355 16.022719936954672 18.4537048339844 18.4088306427002 0.9657895882670988 2.623391 17.305844999999998 0.3681454988094031 -1.102985642700201 -1.147859833984402 -0.03129423422399569 0.20010702218604592 0.0026365334692052267 0.06965 -19.14606291206883
