mod_object_name class red_amplitude red_amplitude2 red_offset red_magnitude green_amplitude green_amplitude2 green_offset green_magnitude average_amplitude average_offset average_magnitude delta_time green_brightest red_brightest input_separation input_size input_magnitude normal_separation deltamag_red deltamag_green color model_color Pcc redshift absmag
2019uba SLSN-II -0.034435552078737525 0.4850734071715487 -20.360625549808162 19.294835917117073 -0.08381092917557055 0.23210582210196545 -24.089657998307757 19.55608739625572 -0.049133346043192576 -23.139671687811653 19.450953958172374 30.711875000037253 18.9314079284668 18.9652671813965 8.995316550693328 0.9849448 19.060560000000002 9.132812875090389 0.0952928186035038 0.12915207153320196 0.26125147913864666 0.026534994815879287 0.029398018267648318 0.302 -22.0738199278397
2008es SLSN-II nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0 0.0 23.2 0.0 nan nan nan nan 0.16124646385212038 0.213 nan
2017bcc SLSN-II -0.02722883848215726 0.6725288705706864 -4.92112008389884 17.95916616711448 -0.005241158853177965 0.10442272766916624 0.9632134493479327 18.75728132777212 -0.010940952192692406 -3.9675542927455862 18.181683041402806 32.280606944448664 18.5495 16.6154 0.30234086349799094 0.8920768 17.747799999999998 0.3389179760060916 1.132399999999997 -0.8017000000000003 0.7981151606576411 0.8379394528649122 0.0004248758927758445 0.133 -22.435344682505942
2019ibk SNII -0.012537852423279192 0.8004218282480113 -29.31020345786952 18.900996430287755 -0.014142594724805514 0.7801156742425311 -30.79345172367009 18.804150490765206 -0.013350715361416727 -30.03775570341982 18.85945766859146 37.84013890018832 18.7072677612305 18.79 12.211308052514212 6.434216 15.49061 1.8978703936134895 -3.299389999999999 -3.2166577612305005 -0.09684593952254872 -0.0967814857962459 0.007322186584644341 0.040164 -17.524105592092916
2019hsy SNIa -0.25061058993490887 0.2028379105431368 -7.380329591014844 19.172530003586516 -0.14003066704896786 0.87450690078074 -1.6883818352292161 18.65194079920164 -0.15941981070466585 -5.179947592504427 18.79985493007601 11.93559024440765 18.5717277526855 18.6048488616943 0.44482440032055454 3.4311593251310666 16.0361 0.12964259545235857 -2.5687488616942993 -2.5356277526854996 -0.5205892043848763 -0.05685736288164023 0.0016700639391392658 0.069 -18.92870525673144
2019hql SNIa -0.16586606014814537 0.3257183513387759 -6.197322392267741 18.847450939436193 -0.14002896583485286 0.8054918810726569 -2.105316314898687 18.415250132298105 -0.1451072156206173 -3.880345136034243 18.548062392598847 10.994571710965829 18.3808326721191 18.4715766906738 26.346983846201923 2.643502 16.2314 9.966697148782911 -2.240176690673799 -2.149432672119101 -0.43220080713808784 -0.14262351270184226 0.029172661565386115 0.07 -19.09472838722838
2019hqh SNIa -0.10529426788794673 0.370825279750008 -3.3334780554395715 18.953833711029887 -0.1344527914079004 0.648455448816603 -1.026821447045104 18.545518390290546 -0.11569536874256954 -2.59711346437575 18.766660643899375 6.020972300211724 18.6027507781982 18.6427669525146 0.9445612037857197 1.45504 16.78061 0.6491651114647843 -1.8621569525145993 -1.8221407781982002 -0.40831532073934085 -0.28188762960141034 0.0005823797024476773 0.08 -19.22844099815169
2019hqg SNIa -0.14178795584076004 0.3068463916571371 -4.769709812619473 18.895276298776835 -0.125925718943965 0.6730441726585128 -1.642955816941515 18.539080736000706 -0.13391033206801045 -3.642291813504561 18.724006701107268 10.00332171854825 18.4511795043945 18.5258655548096 2.7688935844919254 2.002201 17.144025 1.382924883411768 -1.3818405548095996 -1.3071545043945 -0.3561955627761293 -0.11985812373138671 0.0019422785551403976 0.07 -19.04043952309258
2019hnu SNIa -0.11797572871534111 0.4014256918228133 -2.9242175603750242 18.221920401353373 -0.09208512925932236 0.9599893464220196 1.008806049648184 17.87814493198622 -0.09659373796141335 -0.10895102208109556 17.96477989641009 14.994814803627378 17.8583850860596 17.9167194366455 5.94806582593254 3.437263 16.48565 1.7304657298357848 -1.431069436645501 -1.372735086059599 -0.3437754693671522 -0.18232332794885053 0.004101809109775645 0.06 -19.29969095794305
2019hnn SNIa -0.16822924023067104 0.21366283509326195 -5.169685635478187 19.12028195726209 -0.13146315686051263 0.6319171446343311 -0.9640830148555817 18.723944889643107 -0.14395210823149987 -3.329520003076219 18.88596552093178 9.017592600081116 18.6418399810791 18.6483936309814 9.361918884352086 1.8052036544832386 15.7525 5.186073527550025 -2.8958936309813996 -2.889339981079102 -0.39633706761898324 -0.04018694908860354 0.0028646271482114516 0.08 -19.22281431968489
2019hmc SNIa -0.0957808543516618 0.7094013292823673 -9.264331315650407 18.805854365143016 -0.07723376943710787 0.4650978595591022 -15.840882361837338 19.102429028059532 -0.09324724375810835 -10.254756525021671 18.858709175736955 17.955474500078708 19.0963268280029 18.7903060913086 4.020607085377622 3.046383 19.04967 1.3197969806743348 0.25936390869139814 -0.04665682800290227 0.296574662916516 0.1185808133281121 0.018424737871796992 0.045031 -17.77979607669294
2019hlx SNIa -0.0732333511688796 0.6486614494159751 -30.25418741164586 17.845591997217767 -0.21808041714809093 0.4809317063198907 -10.651674718503823 18.109362152655805 -0.09148965530192638 -18.045541678798777 17.991489633775807 3.637978807091713e-11 18.24 18.8189163208008 1.9342110414066662 1.059379 18.26549 1.825797039026322 -0.5534263208007992 0.025490000000001345 0.2637701554380385 -0.06734701133096621 0.0015816280175499076 0.07 -18.74738875710138
2019hko SNIa -0.22034418983361692 0.23507289991175842 -8.742212814086074 19.317015043291295 -0.1515076554377044 0.6591532938353725 -5.895127300363823 18.846404715805498 -0.17337652887797617 -7.613732771237091 19.031967754401727 13.737891377524647 18.7864780426025 18.8324794769287 9.355208224731248 1.8839793363461828 16.4694 4.965663924358574 -2.3630794769287 -2.3170780426024997 -0.47061032748579734 -0.07102840648988007 0.004984630656157396 0.09 -19.309220729852935
2019hkn SNIa -0.12696491213603298 0.3909726755367996 -5.041882221256372 18.750636306899494 -0.12458242191242695 0.7501510981929118 -1.4034597351099567 18.359770045837703 -0.1253884742952216 -2.9097408123670716 18.490269148723065 9.996909700334072 18.3288402557373 18.4634628295898 0.044921861618735584 1.206977 17.134175 0.03721849017730709 -1.329287829589802 -1.194665255737302 -0.3908662610617917 -0.19761463811320468 0.00047446403403028636 0.0822 -19.469912971950535
2019ibc Varstar -0.1427658929920882 0.814800310500146 -37.262617163204396 12.638364330600412 -0.1972588082487923 0.764665488186398 -32.97499000100838 11.618582729889514 -0.16049921262886857 -35.142080532793855 12.211702650511707 0.46753469994291663 15.5289001464844 15.8 0.2771110682835558 0.6687169460433503 23.25531 0.41439217283659474 7.455310000000001 7.726409853515602 -1.019781600710898 -0.3839297906445225 0.01577697656885002 0.0 0.0
2019hkl SNIa -0.14874061138907005 0.2724745146384284 -10.436234016223906 18.811365666502912 -0.10984572709138421 0.777044065895894 -5.1039582460247 18.4791638975242 -0.12236664570883661 -8.274378031344217 18.594456777127604 16.022719936954672 18.4537048339844 18.4088306427002 0.9657895882670988 2.623391 17.305844999999998 0.3681454988094031 -1.102985642700201 -1.147859833984402 -0.3322017689787131 0.039563416310432586 0.0026365334692052267 0.06965 -19.14606291206883
