object_name red_amplitude red_amplitude2 red_offset red_magnitude green_amplitude green_amplitude2 green_offset green_magnitude delta_time input_separation input_size normal_separation deltamag_red deltamag_green model_color Pcc redshift absmag class
2021jpk -0.2295996175961479 0.45704286674402983 -3.2910488361044647 18.84813388723084 -0.25781512140783847 0.4965595487461689 -3.8322111091762614 18.648166779998757 6.006990700028837 10.13793672296718 6.982992 1.4518041439782803 -3.3441328652510833 -3.1790643592002894 -0.1521154243549887 0.0060958867836247155 0.038 -17.527578340177172 SNIbn
2020edi nan nan nan nan nan nan nan nan nan 0.12318632208319985 0.7193598493690705 0.17124436704556556 nan nan nan 0.00018991914298283064 0.16 nan SLSN-II
2020ubu -0.11368751229839487 0.6728357561810965 0.037351581117362254 18.529653158355796 -0.13146125439392817 0.7410766425066149 -0.8279747261848383 18.41223555349251 9.981064800173044 0.768695032290927 0.7775188 0.9886513770354196 2.5575002030005862 2.666584211708127 -0.1412842466255917 0.004610953356144032 0.08 -19.43115550448023 SNIa
2020abfl -0.13286866961129826 0.314456327943343 -8.878257296597845 18.23090615563144 -0.11320912529985606 0.5973212496661355 -6.498630420214408 17.835554789755555 14.937604200094938 3.306679797783369 1.753558 1.885697420777282 -0.3118779959623126 -0.1316197240618031 -0.15506635326517326 0.0027332618858608715 0.075 -19.793646626986956 SNIa
2019zbv -0.01898747578056244 0.43724897175969835 -6.768894901228629 18.963463353547837 -0.023188826482509424 0.5000224017737724 -23.14938400882542 19.154800150663842 47.75465200000326 0.0 0.0 0.0 4.2258737886389675 4.049821019369709 -0.04194215354007369 0.15690620852203074 0.37 -22.578544451170146 SLSN-I
2021jsg -0.030240085265792728 0.46130962242382495 -9.596181711091763 19.808812865701018 -0.028037472289208193 0.3760433188079604 -6.154081728023731 19.556839733322 28.900416700169444 0.3180053963258195 0.7964256 0.39929077659711026 -0.534193737019109 -0.2938816912069946 -0.2018858741627838 0.0010259925818451032 0.126 -19.198798090748237 TDE
2019maw -0.08006203885250388 0.565747470943657 -4.05546885423929 18.645296276971546 -0.09483871196473168 0.7494222434919742 -7.868532145254662 18.841907216515253 19.929756984987762 5.52256740224488 2.316646 2.3838633102532194 -0.2798289763131585 -0.40362044894993687 0.3235621302257279 0.010242716631620352 0.07 -18.984226304647574 SNIa
2020ucf -0.12535817301229052 0.6457001868388534 -4.416753833314756 17.805560967137943 -0.1301727439232638 0.7179475502130446 -4.268041307521281 17.608357850435933 14.9347685999237 9.681571815664217 3.233335 2.994299018092532 -0.9848743445716401 -0.8226677488769525 -0.15692758549569064 0.008199917209718022 0.051 -19.1184732156841 SNIa
2021zj -0.08981689149814406 0.9027117710991075 -1.712348988673329 17.404470461556187 -0.15404466625842783 0.38744545744851877 -14.982526653046968 18.160586475049286 16.671570399936172 2.786425503290843 2.214931 1.2580191000490955 0.5454489851418316 -0.40660322948023264 0.7535133916817927 0.0029537953344117573 0.046 -19.65950247537637 SNII
2020yvj -0.11737308814544366 0.5423081110543747 -3.96341247233026 18.488506394063982 -0.13528121944172 0.6477955670343993 -3.895540354988179 18.273935723931608 9.073043999727815 0.4432503743066406 0.8057088547082679 0.550137151548537 -1.9819983077020282 -1.8260730143295412 -0.1631007451685953 0.00012478492027556687 0.09 -19.8174781045755 SNIa
2021tyw -0.22382172840140319 0.08605668043706849 -6.83785686188342 16.59681178184084 -0.2576382412933292 0.10353715709881103 -7.38634460327671 16.29406044358224 9.021111099980772 0.11152783953257912 9.796042 0.011384989930890366 -2.5401956915181643 -2.252507459561512 -0.3047420310784865 0.0017863390606420726 0.013 -17.914437596355114 SNII
2018erw -0.07848256975457636 0.5868987278462676 -6.640793464766742 17.89953956035881 -0.097700154271966 0.4565558821362986 -14.610740703497811 18.70781396148144 15.874976800289005 5.336835206953395 4.854997 1.0992458300084211 -3.4048173990831625 -4.335705369845121 0.8002104564564512 0.0012347336611302495 0.02418 -17.401582111684416 SNIc
2021cym -0.13201726643344336 0.8150344800011754 -0.9213574991694471 17.5643486855625 -0.14661232863207851 0.7244032418599765 -1.9432234371856674 17.563608232203396 11.021643499843776 5.976737294070833 4.093327 1.4601172332605807 -3.1702601926536307 -3.141064865878315 -0.026876743122841162 0.0010297075066796335 0.04 -18.759048084001613 SNIa
2021aai -0.00300798056654965 0.5328802827103281 3.826637315144218 17.97526665929616 -0.0010169627346872238 0.6451261295073216 -5.37220915128956 18.501892076985577 101.85487269982696 3.4664559433786852 7.656980212851142 0.45271841470358465 -6.915835750341341 -7.201664634029587 0.4044766081719082 0.00021707703622653174 0.007412 -14.501693270375124 SNII
2017fro nan nan nan nan nan nan nan nan nan 0.03259187248359777 1.630493 0.019988968050520774 nan nan nan 0.000912837743923367 0.164 nan AGN
2019avd -0.0022248605124639133 0.5845869223866528 -12.766023066862932 17.603836981835393 -0.004674465143262236 0.761103323559053 -23.327371204438812 18.14099737880841 57.87430559983477 0.04697533395834134 4.077929 0.011519409474353608 -2.771674895520924 -3.3451151980804354 0.5426103625535816 0.0009000761657531609 0.028 -17.969177852440414 AGN
2020ism -0.07805417819475301 0.455485108501053 -1.406541614700465 19.17858481486347 -0.10080815885131286 0.41818116999935806 -7.680121038455305 19.360820573326734 10.020463000051677 0.518565471596254 1.781305 0.29111548645305213 -2.228914898343195 -2.1778159581913172 0.021031748577989617 0.0008531467981112151 0.122 -19.766267366353343 SNIa
2019zcr -0.030090797624147476 0.4736902467466906 -16.59459386628391 18.432964540535963 -0.04029089629900702 0.345392091100438 -30.877479348940117 18.579453452393174 41.94017359986901 7.297418223557837 1.034155 7.056406654280874 2.459911090996698 2.363645391988552 -0.16967218138052687 0.08356404367403802 0.259 -22.13533994203216 SLSN-II
PS110bkj -0.04274324878417952 0.41294879951076036 -7.46301767793957 21.941454387135416 -0.035390560746885305 0.4922777560137347 -15.038433320630915 22.89283718395166 18.0 3.007290713040633 0.6660279476170776 4.515262045384359 -1.3717363485407148 -2.308803857940241 0.9420744954963496 0.011265687516964218 0.44779 -20.173576275431397 SNIa
2021ttg -0.11855910954354426 0.5018286413416514 -6.73909202622734 19.02392854847981 -0.053880271133163606 0.33858729043798375 -6.929131073114777 19.30345171749388 9.02114580012858 21.197214768891914 3.333614121521041 6.358628802310262 -4.555476924499256 -4.887510596132973 0.24362266334933125 0.004596952816961264 0.068 -18.663795657930134 SNIa
