acceptance_radius import_ZTF import_OSC import_local import_lightcurve reimport_catalog search_radius Pcc_filter Pcc_filter_alternative star_separation star_cut date_range late_phase n_walkers n_steps n_cores model training_days sorting_state clean SMOTE_state clf_state n_estimators max_depth feature_set neighbors recalculate_nature classifier n_samples plot_lightcurve do_observability save_features ra_deg dec_deg transient_source object_name object_name_in ztf_name tns_name object_class g_correct r_correct dust_map red_amplitude red_amplitude2 red_offset red_magnitude green_amplitude green_amplitude2 green_offset green_magnitude model_color late_color late_color10 late_color20 late_color40 late_color60 bright_mjd first_mjd green_brightest red_brightest chi2 host_radius host_separation host_ra host_dec host_Pcc host_magnitude host_magnitude_g host_magnitude_r host_nature photoz photoz_err specz specz_err best_host redshift redshift_label delta_time deltamag_red deltamag_green absmag input_separation input_size input_magnitude normal_separation true_deltamag_red true_deltamag_green hostless_cut host_g_r input_host_g_r
3.0 True False True False False 1.0 i r 1.0 0.1 15.0 40.0 50.0 1000.0 1.0 double 20.0 42.0 0.0 42.0 42.0 100.0 7.0 13.0 20.0 False "" 3.0 False False True 154.08044999999998 -1.7874666666666665 TNS 2021cca 2021cca -- 2021cca SNIa 0.17980405611278913 0.12881165978655 SFD -0.07227647876408778 0.4842628485422512 2.4087652604600116 18.66866112551131 -0.1405734055973743 0.3414430086997184 -6.299231294698477 18.752352343184597 -0.3073157906525168 0.9256445905012001 0.12374131947499833 0.4746579804581579 0.9256445905012001 1.2346897344835526 59262.31583329989 59249.42393520009 18.53292794388721 18.67929534021345 0.5866655535718589 2.844467 0.7961226753047446 154.08062312710553 -1.787604366934405 0.017688475680361027 19.626227396351304 20.144542753081346 19.877909949855095 0.95 0.091228 0.05934 nan nan 21.0 0.085 specz 12.89189809979871 0.9469320561378539 1.0932994524640947 -19.333216621210866 0.7961226753047446 2.844467 19.626227396351304 0.27988465863894524 1.1986146096416448 1.611614809194137 0.1 0.26663280322625127 0.26663280322625127
3.0 True False True False False 1.0 i r 1.0 0.1 15.0 40.0 50.0 1000.0 1.0 double 20.0 42.0 0.0 42.0 42.0 100.0 7.0 13.0 20.0 False "" 3.0 False False True 186.59543208333 71.563644027777 TNS 2019cww 2019cww -- 2019cww SNIa 0.05739259779331513 0.041116067907730425 SFD -0.19762976617366795 0.41719654861509026 -1.3960778153885496 17.21943796556464 -0.17909014724814987 0.45365873618815267 -0.4559313057232288 17.276695360689878 0.14190066722635564 -0.06855955429556104 0.015709514986692596 -0.03383074680698428 -0.06855955429556104 -0.09307165935201311 58586.22065970022 58580.271006899886 17.266992402206686 17.07593393209227 1.6622803032522824 2.6684020836378286 1.5603566157059796 186.59572479 71.56406746 0.0004473747706383868 14.86109824357137 15.728030369045749 15.183500385540118 0.9700000000000001 nan nan nan nan 11.0 0.0234 specz 5.94965280033648 -2.2148356885208997 -2.4058941586353164 -18.040870492995012 1.5603566157059796 2.6684020836378286 14.86109824357137 0.584753184414677 -1.8924335465521516 -1.5389620331609368 0.1 0.5445299835056314 0.5445299835056314
3.0 True False True False False 1.0 i r 1.0 0.1 15.0 40.0 50.0 1000.0 1.0 double 20.0 42.0 0.0 42.0 42.0 100.0 7.0 13.0 20.0 False "" 3.0 False False True 268.7247583333333 56.514247222222224 TNS 2020ihe 2020ihe -- 2020ihe SNIa 0.19878983823091576 0.14241307768475137 SFD -0.13016600572605402 0.4249543084521923 -4.8284802482447216 18.70827317075105 -0.13842826816060866 0.41729029361438547 -5.770749012376838 18.70492387107815 -0.020625102426500064 0.15976636940287037 0.05497819068560261 0.10065832420129794 0.15976636940287037 0.2098160696079816 58978.39054400008 58963.41357639991 18.493969161769083 18.51496392231525 0.2371871720994104 8.94335 0.5143448105885217 268.72496246741696 56.51415931304225 0.004184452092048319 14.729421741112109 15.512684297629757 15.039819164293892 0.9650000000000001 0.038938 0.012146 nan nan 25.0 0.05 specz 14.976967600174248 -3.785542181203141 -3.7645474206569745 -18.29254795653487 0.5143448105885217 8.94335 14.729421741112109 0.05751142587380809 -3.475144758021358 -2.981284864139326 0.1 0.47286513333586555 0.47286513333586555
3.0 True False True False False 1.0 i r 1.0 0.1 15.0 40.0 50.0 1000.0 1.0 double 20.0 42.0 0.0 42.0 42.0 100.0 7.0 13.0 20.0 False "" 3.0 False False True 196.07683291666 33.47105 TNS 2019dpu 2019dpu -- 2019dpu SNIa 0.04658971068133775 0.03337687753870092 SFD -0.16983105653438735 0.4136442292604404 -6.497031454261871 18.392283983555085 -0.15016773538048028 0.3906820613798234 -5.896666522027216 18.142644547069665 -0.2793384638634713 -0.8227369997423857 -0.44474338235211164 -0.5823845532199883 -0.8227369997423857 -1.0549786666014391 58600.21635420015 58585.228437500075 17.92418228931866 18.2049901224613 0.2336594837627236 2.549664 5.578535614049448 196.078380711244 33.470193119844495 0.008051870605820244 17.861873659595496 18.41798974073936 18.108960178796934 0.9899999999999999 0.069558 0.023607 nan nan 21.0 0.075 specz 14.987916700076312 -0.34311646286580455 -0.062308629723165865 -19.520932461521223 5.578535614049448 2.549664 17.861873659595496 2.1879493196160156 -0.0960299436643659 0.4938074514206967 0.1 0.3090295619424239 0.3090295619424239
3.0 True False True False False 1.0 i r 1.0 0.1 15.0 40.0 50.0 1000.0 1.0 double 20.0 42.0 0.0 42.0 42.0 100.0 7.0 13.0 20.0 False "" 3.0 False False True 121.70767083333331 23.951030555555555 TNS 2020acae 2020acae -- 2020acae SNIa 0.20178272432404182 0.14455718184759528 SFD -0.11221825660580098 0.3789690980255329 -3.9800138981443887 18.96379809245976 -0.04445277520074701 0.440472596268942 4.1429254285680805 18.545751256510478 -0.10599214943123769 -1.3903716642168895 -0.33541628674879576 -0.7010167197410055 -1.3903716642168895 -1.9625163185656476 59199.35856480012 59189.35928239999 18.55208527567596 18.781742818152406 0.9736018629074463 1.853682 2.4279236826386486 121.706941378322 23.95113269913915 0.009685079247152228 19.511112730006516 20.264313880565517 19.71668970342943 0.97 0.136086 0.038041 nan nan 20.0 0.09 specz 9.999282400123775 0.7293699118541106 0.9590274543305561 -19.36220807187839 2.4279236826386486 1.853682 19.511112730006516 1.3097843549425676 0.9349468852770251 1.7122286048895567 0.1 0.5476241771360861 0.5476241771360861
3.0 True False True False False 1.0 i r 1.0 0.1 15.0 40.0 50.0 1000.0 1.0 double 20.0 42.0 0.0 42.0 42.0 100.0 7.0 13.0 20.0 False "" 3.0 False False True 345.93766458333 18.138367611111 TNS 2018gss 2018gss -- 2018gss SNII 0.3708482626530107 0.26567576546397487 SFD -0.18792089887486682 0.36627588476828754 -5.202944603354629 18.542038908082727 -0.16016779802958206 0.3605127028546122 -4.688623396067621 18.74598387791356 0.21230534050685534 -0.3264058216259862 0.043344580651076825 -0.09481336630203785 -0.3264058216259862 -0.5487205912766342 58388.26965280017 58379.31041669985 18.550519737346992 18.328909234536024 1.0999308424888359 2.176967 0.028313207025508796 345.937657113019 18.1383642261965 0.0008857766829040159 16.403982929936596 17.284111248986882 16.721534628770048 0.99 0.076876 0.017723 nan nan 16.0 0.04 specz 8.959236100316048 -1.9249263045994276 -2.1465368074103957 -17.978479001192344 0.028313207025508796 2.176967 16.403982929936596 0.013005804417572153 -1.6073746057659761 -1.2664084883601099 0.1 0.5625766202168343 0.5625766202168343
3.0 True False True False False 1.0 i r 1.0 0.1 15.0 40.0 50.0 1000.0 1.0 double 20.0 42.0 0.0 42.0 42.0 100.0 7.0 13.0 20.0 False "" 3.0 False False True 211.0527333333333 27.626144444444446 TNS 2021dep 2021dep -- 2021dep SNIa 0.09470052151045898 0.06784347151079893 SFD -0.20177655525949348 0.5865682719311777 -0.9221825480004011 17.184629769972965 -0.1282438974119795 0.5489001922788141 -9.34079716698052 17.001926712747153 -0.16270513719134172 -1.5512991735491681 -0.14061085205448265 -0.5850293956262043 -1.5512991735491681 -2.5119456704557805 59266.48497689981 59266.384189799894 17.03303247848954 17.109676528489203 1.125634235572564 5.128272 1.8207903547374729 211.05310035052798 27.62653183375845 0.0012860470693705217 14.598904163313762 15.457128625625788 14.886992158726663 1.0 0.046817 0.010095 0.03683732 1.275706e-05 23.0 0.0368 specz 0.10078709991648793 -2.5107723651754412 -2.43412831517578 -19.011618840415466 1.8207903547374729 5.128272 14.598904163313762 0.35504948932846636 -2.22268436976254 -1.5759038528637532 0.1 0.5701364668991253 0.5701364668991253
3.0 True False True False False 1.0 i r 1.0 0.1 15.0 40.0 50.0 1000.0 1.0 double 20.0 42.0 0.0 42.0 42.0 100.0 7.0 13.0 20.0 False "" 3.0 False False True 166.41880416666666 -5.637366666666666 TNS 2021hsg 2021hsg -- 2021hsg SNIa 0.23668565871101413 0.16956165063992729 SFD -0.0408273871788508 0.3167027248808484 -13.58377600321165 18.95774008035314 -0.02873092563264868 0.35986613404322554 -13.93556887018261 18.901070435543488 0.007530552516922029 -0.0917074703069396 0.006803090987716587 -0.01666889599179555 -0.0917074703069396 -0.17373010392978472 59314.23208330013 59303.31478009978 18.759228341288985 18.809495349360073 1.6092699460224977 1.114650069119526 0.17079524668191365 166.41885177 -5.63736409 0.0004889293095549085 17.375918836468426 18.392206851247806 17.666032983493153 0.8800000000000001 nan nan nan nan 16.0 0.105 specz 10.917303200345486 -1.4335765128916478 -1.3833095048205593 -19.69084039640659 0.17079524668191365 1.114650069119526 17.375918836468426 0.15322768231363107 -1.1434623658669203 -0.36702149004117857 0.1 0.7261738677546532 0.7261738677546532
3.0 True False True False False 1.0 i r 1.0 0.1 15.0 40.0 50.0 1000.0 1.0 double 20.0 42.0 0.0 42.0 42.0 100.0 7.0 13.0 20.0 False "" 3.0 False False True 164.82779166666666 43.65716111111111 TNS 2020ihr 2020ihr -- 2020ihr SNIa 0.045493259418964635 0.03259137964708082 SFD -0.13473925811536688 0.47818344058801787 -3.9163413677566687 16.887738422228892 -0.16739427832366804 0.36738217003942514 -6.181249432018428 17.05934759181886 0.06477313024109677 0.17986173358518442 0.18337105039154977 0.21339971123767754 0.17986173358518442 0.12330044389115358 58980.1957291998 58965.239490699954 16.765644740581035 16.84346862035292 0.9332545503021379 8.940265 6.464823752092875 164.8261396093695 43.655820879763596 0.02806304862820208 17.09019341218827 17.889448986307173 17.665820554140247 1.0 nan nan nan nan 29.0 0.03 specz 14.956238499842584 0.24672479183535145 0.32454867160723566 -18.82342189503534 6.464823752092875 8.940265 17.09019341218827 0.7231132133211795 0.8223519337873277 1.123804245726138 0.1 0.22362843216692596 0.22362843216692596
3.0 True False True False False 1.0 i r 1.0 0.1 15.0 40.0 50.0 1000.0 1.0 double 20.0 42.0 0.0 42.0 42.0 100.0 7.0 13.0 20.0 False "" 3.0 False False True 8.9125 25.677530555555556 TNS 2021cai 2021cai -- 2021cai SNIa 0.14250753898507942 0.10209242786630823 SFD -0.14445547830927813 0.4392619923858871 4.145061850803457 16.898102463188124 -0.2359090427849257 0.45208000808189863 0.0907451789104275 17.36709261937357 -0.07592098498559707 2.444620915215264 0.8216195088455187 1.4941432442281979 2.444620915215264 3.313777271784957 59256.13342589978 59252.13431710005 17.418452461014923 17.453516572133694 9.562430544583423 4.497254 4.4445595005742 8.912982221791754 25.67868613361935 0.0006279053003411805 13.753859736249737 14.974931747209013 14.185435677102918 0.975 0.03016 0.009178 nan nan 35.0 0.032836 specz 3.9991087997332215 -3.6996568358839568 -3.6645927247651855 -18.41402460188172 4.4445595005742 4.497254 13.753859736249737 0.9882829612412819 -3.268080895030776 -2.44352071380591 0.1 0.7894960701060949 0.7894960701060949
