mod_object_name class red_amplitude red_amplitude2 red_offset red_magnitude green_amplitude green_amplitude2 green_offset green_magnitude average_amplitude average_offset average_magnitude delta_time green_brightest red_brightest input_separation input_size input_magnitude normal_separation deltamag_red deltamag_green color model_color Pcc redshift absmag
2019uba SLSN-II -0.03959567300086225 0.5128072576501631 -15.508865101907496 19.263591957467266 -0.07514556706940474 0.3135599619144285 -21.747995498307244 19.41940050181019 -0.052532563690087034 -19.357419749770703 19.336362818793038 30.711875000037253 18.9314079284668 18.9652671813965 8.995316550693328 0.9849448 19.060560000000002 9.132812875090389 0.0952928186035038 0.12915207153320196 0.1558085443429249 0.007301300646233244 0.029398018267648318 0.302 -22.0738199278397
2008es SLSN-II nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0 0.0 23.2 0.0 nan nan nan nan 0.16124646385212038 0.213 nan
2017bcc SLSN-II -0.029298883133738973 0.5725904712781265 -9.604262332146346 18.00502631098354 -0.004841448722512557 0.1083432299826489 10.587816420847687 18.71726886547106 -0.008354044324528454 -4.680050236139485 18.321411279976125 32.280606944448664 18.5495 16.6154 0.30234086349799094 0.8920768 17.747799999999998 0.3389179760060916 1.132399999999997 -0.8017000000000003 0.7122425544875206 0.8434313560612061 0.0004248758927758445 0.133 -22.435344682505942
2019ibk SNII -0.013727833698539072 0.7608844942176323 -35.13025384133433 18.89776558911518 -0.016170771761560985 0.7195771131932001 -29.007918056617783 18.819903127134207 -0.014818337780881676 -32.406844275230874 18.861897404210307 37.84013890018832 18.7072677612305 18.79 12.211308052514212 6.434216 15.49061 1.8978703936134895 -3.299389999999999 -3.2166577612305005 -0.07786246198097402 -0.09907665920877307 0.007322186584644341 0.040164 -17.524105592092916
2019hsy SNIa -0.25482218475315194 0.20068843085084168 -7.395483117078417 19.179287095502605 -0.1395618884475261 0.896208345109074 -1.5047874471283254 18.63157144722822 -0.15668742080842457 -4.709901994431399 18.779751691433848 11.93559024440765 18.5717277526855 18.6048488616943 0.44482440032055454 3.4311593251310666 16.0361 0.12964259545235857 -2.5687488616942993 -2.5356277526854996 -0.5477156482743837 -0.07903066869067388 0.0016700639391392658 0.069 -18.92870525673144
2019hql SNIa -0.1536071604574157 0.36493332549508506 -5.675650038039359 18.805835701292494 -0.1374678222058805 0.8343707513002143 -1.806076847300441 18.408049601109283 -0.14158708948378776 -3.55117669193902 18.535782256034143 10.994571710965829 18.3808326721191 18.4715766906738 26.346983846201923 2.643502 16.2314 9.966697148782911 -2.240176690673799 -2.149432672119101 -0.39778610018321103 -0.14683309202104766 0.029172661565386115 0.07 -19.09472838722838
2019hqh SNIa -0.09690473960150064 0.42858764584757963 -2.549157047885804 18.90839222768873 -0.14491553896562936 0.6257371935317662 -0.3302898218505541 18.488011877876744 -0.11266120382017591 -1.971080593245653 18.749871858323242 6.020972300211724 18.6027507781982 18.6427669525146 0.9445612037857197 1.45504 16.78061 0.6491651114647843 -1.8621569525145993 -1.8221407781982002 -0.42038034981198535 -0.3241595719541017 0.0005823797024476773 0.08 -19.22844099815169
2019hqg SNIa -0.13975880891399595 0.3087480465970466 -4.72213800148625 18.903237394020735 -0.1286969076873979 0.6435999795078421 -1.808362943825479 18.547663015268796 -0.13444214948277278 -3.6212081484962453 18.729915803145396 10.00332171854825 18.4511795043945 18.5258655548096 2.7688935844919254 2.002201 17.144025 1.382924883411768 -1.3818405548095996 -1.3071545043945 -0.355574378751939 -0.1340552687555494 0.0019422785551403976 0.07 -19.04043952309258
2019hnu SNIa -0.11627015598733126 0.41496407354636333 -2.7785043228059747 18.21063842252174 -0.09251359963890045 0.9607163224370818 0.9640523435599513 17.880183501311215 -0.0976962699329129 -0.20046375679141515 17.97575218756982 14.994814803627378 17.8583850860596 17.9167194366455 5.94806582593254 3.437263 16.48565 1.7304657298357848 -1.431069436645501 -1.372735086059599 -0.33045492121052433 -0.18084271731918733 0.004101809109775645 0.06 -19.29969095794305
2019hnn SNIa -0.1492381179985264 0.2635042104355841 -4.299909122523568 19.05842013002603 -0.12153918213126995 0.7203413255810114 0.17273418295457516 18.699206594247325 -0.12893306207040567 -1.6776637016113896 18.79332283119291 9.017592600081116 18.6418399810791 18.6483936309814 9.361918884352086 1.8052036544832386 15.7525 5.186073527550025 -2.8958936309813996 -2.889339981079102 -0.35921353577870363 -0.04860518653915591 0.0028646271482114516 0.08 -19.22281431968489
