     Name                   RA                    DEC          Redshift  Classification 
  2020jhm   233.25950416666663      67.91347222222223              0.06          SLSN-I 
  2021txk   321.95528749999994      -8.08286388888889              0.46          SLSN-I 
  2021rwz    347.4589874999999     10.028441666666668              0.19          SLSN-I 
  2020usa           336.556625    -2.2685305555555555             0.263         SLSN-II 
  2020mad   213.96974999999998      5.443230555555556             0.123         SLSN-II 
  2020vfu   109.27433333333332      49.48796111111111            0.1281         SLSN-II 
  2020ysh   163.29201666666665      38.45798888888889            0.1465         SLSN-II 
  2021fmu   157.98433333333332    -15.955449999999999              0.14         SLSN-II 
  2020edi              199.057    -22.558369444444445              0.16         SLSN-II 
  2020vws    40.41602916666666     19.426080555555558            0.3836         SLSN-II 
  2021elz   210.04519999999997    -12.316366666666667              0.26         SLSN-II 
  2021ali   139.40299999999996     18.323183333333333             0.192         SLSN-II 
   2020nt   229.05361249999999      2.325855555555555            0.1867         SLSN-II 
 2020adlc    75.63780416666665     15.606730555555556              0.04            SNII 
  2020sic    236.9379583333333     28.640338888888888           0.03324            SNII 
  2020shu   125.86420416666664      66.29844444444444           0.04106            SNII 
  2020shf   125.35236249999997      43.03550833333333          0.056392            SNII 
   2021iy   169.63195833333333     -6.277930555555556          0.013639            SNII 
  2021bbm   146.28041666666667                68.5915             0.015            SNII 
  2021bgd   199.13942083333333     31.547619444444447             0.025            SNII 
 2020adqw   49.256208333333326                 36.889             0.019            SNII 
   2021ad    79.27395833333333     -6.657019444444445              0.03            SNII 
 2020aerh   242.93136666666663     49.033941666666664              0.04            SNII 
 2020aerc   358.64858333333325      34.88071111111111            0.0166            SNII 
 2020aeje             4.299875     -7.627061111111112              0.02            SNII 
  2020smm   60.997629166666655      28.61983888888889              0.03            SNII 
  2020uhm   120.36137916666665                36.8192              0.04            SNII 
  2020uhf    44.10283333333333      38.18715555555555            0.0555            SNII 
  2020ufx   322.65267916666664     24.673719444444444              0.05            SNII 
  2020ufp    278.9264541666666      48.90105277777778             0.053            SNII 
  2021aul   157.29192916666665      5.142863888888889              0.04            SNII 
  2020uao   17.198416666666667     27.045011111111112             0.038            SNII 
  2020tzd   13.849912499999999     24.801266666666667             0.081            SNII 
  2020twk   352.30617499999994     -2.095013888888889             0.025            SNII 
  2020tor    66.70020833333334     -19.86848888888889           0.03331            SNII 
  2020toc   127.12558333333332      17.46904722222222           0.02106            SNII 
  2020sjv             260.7695      55.07248888888889             0.028            SNII 
  2020tly    7.360849999999999               17.48535             0.058            SNII 
  2020tja    288.8224458333333      29.77468611111111             0.046            SNII 
  2020thx   22.284891666666663    -14.793958333333332             0.084            SNII 
  2020tfv    351.7707458333333     16.348780555555553             0.053            SNII 
  2020tdm    272.0803374999999      16.60401388888889           0.02723            SNII 
  2021avg            174.99575     14.527969444444444             0.031            SNII 
  2020tab          327.9408875                11.5787           0.02851            SNII 
  2020szs   323.53749999999997      8.779469444444445          0.022125            SNII 
  2020sxt   39.007016666666665      3.236197222222222              0.04            SNII 
  2020svn   59.544624999999996     -8.816919444444444           0.02891            SNII 
  2020sur   22.248233333333335    -11.491469444444444             0.063            SNII 
 2020adfj   161.97704166666665               76.84615          0.022112            SNII 
  2020tkl   121.38929999999999      56.56305833333333              0.03            SNII 
 2020acjg           159.163325               37.47225            0.0231            SNII 
 2020acun   227.99079166666664     -2.981888888888889          0.021595            SNII 
 2020aaun   152.50424999999998     11.916161111111112           0.02815            SNII 
 2020aatp   200.71417916666664      51.73690277777778      0.0296950005            SNII 
 2020aatb    81.19338333333333    -15.942063888888889          0.009954            SNII 
 2020aasd   140.81257499999998      33.56691666666667             0.025            SNII 
 2020aagu    174.8313333333333    -12.099869444444446           0.07389            SNII 
 2020aagt   181.20427499999997     -5.598569444444444          0.026932            SNII 
 2020aafm   138.39410416666664     52.097236111111116             0.066            SNII 
  2021bql   227.14359999999996      60.86678888888889          0.073914            SNII 
  2020zys   200.20742916666663     31.617855555555558          0.045038            SNII 
 2020aavr   134.95463749999996      38.10907777777778          0.072475            SNII 
  2020zpt    57.90341666666666      43.69801944444444             0.015            SNII 
  2021brb   271.31383333333326      46.88223055555556           0.02349            SNII 
  2020znl    93.32457916666667    -15.892069444444443             0.043            SNII 
  2020zmr   108.80135833333331     30.359986111111112             0.066            SNII 
  2020zia   329.76341666666667    -7.8091083333333335             0.052            SNII 
  2020zen   47.024537499999994     23.040480555555558             0.035            SNII 
  2020yzq    275.5973333333333     23.475569444444442           0.01482            SNII 
  2020yzi   150.94463333333334    -15.909461111111112             0.027            SNII 
  2020yyo            167.48055              79.004325          0.039641            SNII 
  2020jfo    185.4603333333333      4.481680555555556           0.00502            SNII 
  2020izc   1.2604583333333332     -7.100838888888888          0.012699            SNII 
  2020iyi   152.76495833333334      54.36958888888889           0.05465            SNII 
 2020aawo   159.52469166666663      39.17594722222222          0.030371            SNII 
 2020abbi   186.41579166666662    -2.9498388888888893          0.025144            SNII 
 2020acug   183.55894166666664       9.79616388888889             0.045            SNII 
  2020uhn   138.05320833333332                14.9442              0.03            SNII 
 2020acdz    93.33174999999999              -26.79025             0.074            SNII 
 2020acbm   40.074166666666656     2.4270694444444443             0.021            SNII 
 2020acac   217.75258333333332     25.488880555555557          0.015137            SNII 
  2021bkb    236.8733583333333     10.933677777777778              0.05            SNII 
  2021bkq    275.1451666666666      40.94341111111111             0.036            SNII 
 2020abue   121.08466666666665     56.302080555555555          0.028034            SNII 
 2020abtf   119.89366249999999     15.300019444444445             0.014            SNII 
 2020absz    97.94474999999998     -17.61936111111111            0.0213            SNII 
 2020absk   136.00384583333332   -0.08890555555555554           0.01889            SNII 
 2020aazt          351.4465125     14.044544444444444            0.0315            SNII 
 2020absj   197.73215416666662     11.873722222222222           0.02891            SNII 
 2020abou   359.98780416666665      4.901872222222223             0.031            SNII 
  2021bmc   127.24880416666666     12.419380555555556              0.05            SNII 
  2021bmk   172.80430416666664     62.321780555555556          0.032438            SNII 
 2020abhs   193.73912499999997     -13.54153611111111             0.007            SNII 
 2020abed   203.77254166666665               59.69645              0.04            SNII 
 2020abdr   55.697874999999996    -12.280111111111111              0.03            SNII 
 2020abdi    183.2088333333333      39.80813055555555             0.053            SNII 
 2020abcq   131.13124999999997     -20.34648888888889            0.0115            SNII 
 2020abbo    357.7752083333333      6.942480555555556             0.017            SNII 
 2020abbl   184.46762499999997    -0.9080611111111111          0.021131            SNII 
 2020abqw   170.42084166666666      20.17482222222222             0.014            SNII 
  2020uik   120.47575833333333     -6.760977777777778              0.03            SNII 
  2020upe    41.48083333333333    -12.758669444444445             0.026            SNII 
  2020ult   106.88524999999998     48.900188888888884          0.020721            SNII 
  2021kpx   137.65816666666666      68.29946111111111              0.04            SNII 
  2021knb            349.73175    -20.699638888888888          0.025945            SNII 
  2021kmz    346.2244166666666     -6.542338888888889          0.019937            SNII 
  2021kkx   237.01588749999996      82.57611666666666            0.0383            SNII 
  2021kfo    243.7533791666666      6.221991666666667              0.06            SNII 
  2021kdm    330.0549166666666      9.722169444444445             0.043            SNII 
  2021jwd   173.54863749999998      31.82378611111111             0.064            SNII 
  2021jtt            145.31855     35.884055555555555          0.023393            SNII 
  2021jsf   312.58931249999995     1.1415861111111112            0.0285            SNII 
  2021jom    221.3553458333333     16.586844444444445            0.0372            SNII 
  2021jlr    139.3490833333333     25.804869444444446             0.029            SNII 
  2021iso   179.33941666666664     -20.23293333333333             0.031            SNII 
  2021inc    207.0883333333333     28.268633333333334            0.0777            SNII 
  2021imh          282.8640875      41.53494722222222             0.042            SNII 
  2021iex   134.66387083333333     12.314288888888889             0.067            SNII 
  2021ibn   132.55866666666668      37.02696944444445             0.044            SNII 
  2021hxv   186.90925416666664      1.917947222222222             0.078            SNII 
  2021hse    241.4869666666666     14.678472222222222              0.04            SNII 
  2021kqj   166.24236249999998      30.02968611111111          0.028551            SNII 
  2021kts   353.35534583333333      21.13297777777778             0.019            SNII 
  2021nyu   242.77081249999998      18.49953888888889          0.035955            SNII 
   2021nx    39.30512916666667     -27.51596388888889             0.058            SNII 
  2021nof   213.96158333333332     1.8826194444444444           0.02558            SNII 
  2021nli   210.55274999999997     -18.75451111111111          0.030067            SNII 
  2021nkl    219.5739583333333     12.033630555555556           0.02884            SNII 
  2021njo   241.77904166666664     47.443638888888884           0.03797            SNII 
  2021nip   244.21003333333326     12.642930555555555             0.033            SNII 
  2021mur  0.26920833333333327      8.277369444444446             0.036            SNII 
  2021msw            335.49915    -10.187577777777777              0.04            SNII 
  2021msa   155.73166666666665      65.20086944444445          0.010945            SNII 
   2021zj   169.13629166666666     29.096149999999998             0.046            SNII 
   2021os   180.72529166666664      5.614769444444444             0.019            SNII 
  2021lqt   216.08830416666666      55.74216944444444           0.04294            SNII 
  2021lne          232.7570375     -4.971044444444445             0.027            SNII 
  2021lmt    235.4376208333333     -3.910286111111111            0.0283            SNII 
  2021lmp    226.0734708333333      48.91963333333333            0.0267            SNII 
  2021llp   142.37983333333332               25.55695             0.033            SNII 
   2021pj   138.86333749999997      31.80761111111111             0.042            SNII 
   2021pz   109.56918333333331     17.689791666666668             0.074            SNII 
  2021kul    214.3768333333333      28.80233888888889          0.035126            SNII 
  2021mqh   174.96029166666665     -7.607388888888888            0.0233            SNII 
   2021zo            86.777875      7.336011111111111              0.03            SNII 
  2021hkg   148.10254166666667    -11.224119444444444             0.017            SNII 
  2021hkf    176.0969583333333      8.178180555555555              0.02            SNII 
  2020vzv   318.35318749999993     17.674744444444446             0.019            SNII 
  2020vyv   342.60571666666664      8.844997222222222             0.062            SNII 
  2021alq    226.2578583333333     12.641633333333333              0.04            SNII 
  2021amj   159.40249583333332     26.746119444444446             0.076            SNII 
  2020vhw   158.99124999999998      44.90808055555556             0.042            SNII 
  2021apg   205.33022499999998      24.49553611111111          0.026898            SNII 
  2020vef    55.54774583333333               -0.35345            0.0256            SNII 
  2020vdu            75.235875    -17.538311111111113          0.055532            SNII 
  2020vdk   13.577791666666666    -14.689855555555555             0.074            SNII 
  2020vdc              44.7269    -10.564755555555557            0.0344            SNII 
  2020vcp           34.6701875    -22.511997222222224          0.032159            SNII 
  2020wgp   120.51835416666665      27.22501944444444           0.02222            SNII 
  2020uzx   22.101054166666668     -5.971586111111111              0.04            SNII 
  2020uwl   22.360866666666666    -15.412594444444444             0.093            SNII 
  2020uve    33.12546666666667     -22.47282222222222              0.04            SNII 
  2021arg    67.82826249999998    -10.396386111111111             0.031            SNII 
  2020ute   127.37562499999996     31.674669444444447            0.0183            SNII 
  2021ass    27.54220833333333     27.645219444444443          0.011791            SNII 
  2020uri   300.70847499999996     -14.24991111111111           0.04106            SNII 
  2020uqx              326.827      32.09581111111111             0.017            SNII 
  2020ikp   168.06199999999998                 -2.002            0.0467            SNII 
  2020umy   119.90289166666666     28.863255555555558            0.0456            SNII 
  2020uim   28.188758333333332     36.623155555555556          0.018489            SNII 
  2020wgs   128.10990416666667    -3.2031694444444447           0.03107            SNII 
  2020wnx    79.76324999999999    -17.826544444444444             0.066            SNII 
  2021hiv    192.2743458333333    -12.207669444444443             0.023            SNII 
  2020ywo   178.49074999999996     22.662530555555556            0.0475            SNII 
  2020yts    338.6145916666666      25.03526111111111             0.041            SNII 
  2020ytk   13.842749999999997    -10.096736111111111             0.058            SNII 
  2020ytg   312.04164999999995    -1.2111444444444444             0.056            SNII 
  2021aai   108.61191666666664       84.3809611111111          0.007412            SNII 
  2020ylr    347.0397958333333      40.26591111111111             0.048            SNII 
  2020ykd   150.03947499999998      38.45704444444445        0.02690421            SNII 
  2020ykb    64.03824166666665    -25.474294444444443              0.09            SNII 
  2020ygq   130.45958749999997      56.31164166666667             0.047            SNII 
  2020whv   138.63335833333332      31.63332777777778             0.097            SNII 
  2020yae              162.623     -8.619158333333333              0.09            SNII 
  2020xva           263.035125      53.65398888888889             0.017            SNII 
  2020xtg   233.32479166666664     45.004330555555555          0.061195            SNII 
  2020xqj   180.95637499999998                29.7171          0.010551            SNII 
  2020xlo    87.36492083333331    -24.769344444444442           0.04391            SNII 
  2020xhs   30.742833333333326      45.02028055555555          0.024377            SNII 
  2021aek    179.9500833333333    -21.386969444444443             0.022            SNII 
  2021aff   151.60894166666662      6.912177777777778             0.051            SNII 
  2020xcu   129.08291666666665    -11.018930555555556             0.014            SNII 
  2020wut   161.77724999999998      30.05403888888889             0.032            SNII 
  2020wol    29.86133333333333               30.72675          0.050475            SNII 
  2020wog   328.18255416666665      33.65620277777778             0.045            SNII 
  2020xyk              5.23225     21.863569444444447            0.0187            SNII 
  2020igs          144.2308875       8.56233888888889            0.0222            SNII 
  2020iak   199.34537499999996      32.58853888888889          0.061316            SNII 
  2020ifc   332.53101666666663     41.022952777777775          0.015621            SNII 
  2021djy   266.75532499999997               5.803525             0.056            SNII 
  2021dqs    206.0239083333333      43.07168055555556             0.027            SNII 
  2021dqw           241.662225     16.235336111111113              0.04            SNII 
  2019zck    53.00818333333333      1.176102777777778            0.0406            SNII 
  2021dru   186.18609999999998     -4.768594444444444          0.025878            SNII 
  2021duk    80.82154583333333    -14.029761111111112             0.015            SNII 
  2019xvv   216.08008333333333    -16.372038888888888             0.022            SNII 
  2019xvo    59.59466666666666      6.715450000000001          0.018373            SNII 
  2020mrf   236.97567916666665      44.65205833333333          0.058809            SNII 
  2020mks          236.4550625      19.68466666666667             0.049            SNII 
  2020mjm    217.3722083333333                -0.0216          0.005134            SNII 
  2020meu   233.68614166666663      6.648163888888888            0.0405            SNII 
  2020lrr   210.27794583333332      34.58080833333334            0.0275            SNII 
  2020lfn   246.73704166666667      20.24588888888889             0.044            SNII 
  2020lfi            315.37075   -0.28541944444444445             0.055            SNII 
  2020lam   254.09805416666666      26.81386388888889             0.033            SNII 
  2020koc   239.95217499999995     27.260555555555555             0.166            SNII 
  2020kgp   163.67104166666667    -16.316319444444446             0.028            SNII 
  2020kbd    238.7847291666666      65.30275833333333             0.032            SNII 
  2020kay   179.04709583333332      60.52776111111111             0.033            SNII 
  2020jww   242.71496249999998     27.161694444444443             0.046            SNII 
  2020jmb   142.80499999999998              38.254025             0.061            SNII 
  2020jjj   217.83183333333332    -25.658638888888888          0.022836            SNII 
  2021dhx   166.29324999999997               -15.3528          0.025114            SNII 
  2020kxl   165.12407916666666      9.457288888888888           0.04268            SNII 
  2020mws   220.18474999999998                 3.8411              0.06            SNII 
  2021ech   181.58507916666665      37.01311388888889          0.020738            SNII 
  2021eff    268.7150833333333      44.60767222222222             0.045            SNII 
  2021hdt   173.69054166666663      42.96536944444445          0.018822            SNII 
  2021hac    213.1269083333333      34.55011111111111            0.0316            SNII 
  2021gvv   256.14998749999995     14.080380555555555             0.038            SNII 
  2021gvm   202.50509999999997     13.411188888888889            0.0246            SNII 
  2021gmj   159.69697916666664      53.50841944444444            0.0034            SNII 
  2021gcc   110.94348749999999     15.559241666666667         0.0410647            SNII 
  2021fzp            220.98375     16.413249999999998             0.054            SNII 
  2021fyp   154.24975416666666     15.016302777777778          0.052896            SNII 
  2021fxm   208.57630416666666    -25.908458333333332              0.02            SNII 
  2021fwx    96.39129583333332     46.736808333333336            0.0434            SNII 
  2021fox   149.40149999999997              -13.69595             0.032            SNII 
  2021foj    206.3608333333333      47.91816111111111          0.028057            SNII 
  2021enz            181.77175      42.98841111111111             0.024            SNII 
  2021fnc   135.72799999999998      50.28576944444444      0.0420950018            SNII 
  2021eui   290.23246249999994      43.12073888888889          0.015471            SNII 
  2021ghj    125.9518708333333      38.38981666666667          0.060214            SNII 
  2021duv          176.4777125     22.454427777777777            0.0227            SNII 
  2021dvl   117.48382916666665      71.26169722222222             0.034            SNII 
  2019wib             154.8715     27.883719444444445          0.050575            SNII 
  2019vjl          147.3487375     1.1463277777777778          0.025017            SNII 
  2019vdm   171.60211666666666     22.619747222222223            0.0315            SNII 
  2020ifv   310.65088749999995      76.78176666666667             0.042            SNII 
  2020nco             2.079075      8.121205555555557            0.0178            SNII 
  2020esx   124.68762499999998      52.82931111111112            0.0338            SNII 
  2020eoe   244.51112499999996     18.042169444444447           0.04543            SNII 
  2021cah    42.12799999999999      50.75998888888889          0.016491            SNII 
  2021can   193.87831249999996                 30.028            0.0207            SNII 
  2020eaf    44.58324999999999      40.92318888888889            0.0206            SNII 
  2020dya   216.90540416666664      69.68641111111111          0.030074            SNII 
  2020etk           232.168075    -12.896288888888888             0.025            SNII 
  2021bwv   152.61434999999997     2.2281833333333334             0.022            SNII 
  2020iez   147.11827083333333      50.92248055555555          0.032668            SNII 
  2021bug   188.59486666666666     2.3172861111111107          0.005847            SNII 
  2020hyb   154.24419583333332      46.51070277777778              0.03            SNII 
  2020hvw   269.62470416666656     23.939241666666668             0.093            SNII 
  2020hvn          169.9081125     30.112066666666667           0.02344            SNII 
  2020hrw   196.02962916666664      5.561877777777777             0.024            SNII 
  2020hox    295.6089999999999    -15.878911111111112              0.03            SNII 
  2020hln   297.75893749999994              62.724725              0.06            SNII 
  2020hgw    214.5797208333333      38.92955555555555             0.043            SNII 
  2020hgo   255.34374999999997     20.316269444444444            0.0352            SNII 
  2020hgm   127.84204166666666     49.226480555555554           0.04316            SNII 
  2020gpe    249.8846666666666      66.03771111111111          0.025414            SNII 
  2020gjj    156.4573958333333                66.3124           0.04106            SNII 
  2020gjh   233.53336249999995     22.132694444444446            0.0865            SNII 
  2020gcv    322.8402916666666      9.429969444444444          0.028396            SNII 
  2020gam   199.01458333333332                32.2541             0.063            SNII 
  2020gac   187.44254166666664      42.73283888888889          0.038671            SNII 
  2020fzj    303.9288958333333     -6.316633333333333           0.01893            SNII 
  2020fxl   297.53957499999996      41.36637777777778              0.02            SNII 
  2020fsv           202.828275              -27.12755           0.04331            SNII 
  2020fsb   234.76587499999997    -25.974538888888887          0.007515            SNII 
  2020fqo   120.34615833333334     6.1407138888888895           0.03878            SNII 
  2020fcx    205.0417083333333     23.341538888888888            0.0319            SNII 
  2020fcu    216.0371708333333     12.258713888888888            0.0263            SNII 
  2020fch           173.350125      -9.34888888888889           0.02723            SNII 
  2020fca   233.06624999999997    -20.085869444444445             0.026            SNII 
  2020fbj   191.94592916666664      22.28624166666667            0.0339            SNII 
  2020ghv   215.94409999999996      9.234599999999999            0.0299            SNII 
  2020pjb              33.7079             -24.857225           0.03784            SNII 
  2020ovs    288.2688124999999    -18.736633333333334          0.039184            SNII 
  2020ovk   358.57388333333324      26.32671111111111             0.025            SNII 
  2021cpi    222.9893083333333     16.221863888888887             0.055            SNII 
  2020omq   234.64333333333332                6.65045            0.0381            SNII 
  2021crx   200.47489999999996      8.605649999999999          0.066866            SNII 
  2020ofw   195.13941666666665      27.50448888888889            0.0186            SNII 
  2020ofj   15.986304166666667     -2.260647222222222            0.0527            SNII 
  2020oco    292.0406708333333      52.89398333333333           0.02652            SNII 
  2020obd    37.14964166666666    -10.538547222222222            0.0194            SNII 
  2020nyb   29.783916666666663      86.67621111111112          0.015527            SNII 
  2020nvw   228.58186666666663      39.93097777777778              0.03            SNII 
  2020ntt   357.55946249999994     10.128155555555557             0.074            SNII 
  2020nqo   347.86667916666664     25.362919444444447              0.03            SNII 
  2020nny    344.6426166666666     15.170852777777776          0.030654            SNII 
  2020nkl   12.137970833333332     55.130005555555556             0.029            SNII 
  2020nja   23.644499999999997    -3.3438194444444447          0.018866            SNII 
  2020nim    244.2182083333333               26.73585              0.06            SNII 
  2020nif   196.05724999999998    -10.350969444444445          0.010374            SNII 
  2020nec   25.489437499999998      18.38976388888889             0.045            SNII 
  2020obf   37.476499999999994     1.4214194444444446           0.02456            SNII 
  2020bws   202.29844999999997      38.22381666666667          0.055511            SNII 
  2020pql   29.654041666666664    -2.7828805555555554          0.030174            SNII 
  2020buc    152.1302833333333      9.239772222222221            0.0348            SNII 
  2021cdv   166.96755833333333     11.009977777777777             0.043            SNII 
  2021cdw   211.38251666666665     -25.36510277777778           0.03969            SNII 
  2020rvn           316.651375      17.99303888888889          0.020608            SNII 
  2020pqv   220.49816666666663      8.462719444444444            0.0338            SNII 
  2020rue   109.50291666666665      39.83683888888889             0.015            SNII 
  2021cgu   165.76545833333333      5.098169444444444             0.026            SNII 
  2020rmk           58.2335375     19.325958333333332             0.025            SNII 
  2020rka    37.35308333333333     -4.981127777777778            0.0444            SNII 
  2020rht            37.572125     28.600730555555558              0.04            SNII 
  2020rhg    9.706758333333333      3.403722222222222              0.03            SNII 
  2020ras   136.40220833333333      61.96168055555556           0.02563            SNII 
  2020qvw   250.98342083333324      77.87992222222222              0.05            SNII 
  2020qta   44.773112499999996     27.182069444444444           0.03616            SNII 
  2020qmp   182.18516666666665                36.8048             0.003            SNII 
  2021cjy   194.82936666666663     38.886066666666665       0.036088001            SNII 
  2021ckb   153.93696249999996      43.09694722222223          0.070265            SNII 
  2020rth   52.113583333333324     -5.254530555555555            0.0184            SNII 
  2020mst   281.79392083333335      60.49678611111111             0.059            SNII 
   2021lx    84.89779166666666      51.45153055555556              0.03            SNII 
  2021pjs    331.9472833333333     -2.484297222222222             0.032            SNII 
  2021vws   328.99864583333334    -16.298294444444448             0.081            SNII 
  2021uqw   328.49761249999995      6.697516666666667           0.02802            SNII 
  2021qye    232.1598208333333     50.842105555555555          0.049341            SNII 
  2021ucg    341.9069791666667      39.88318888888889           0.01718            SNII 
  2021uoy   343.90607083333333     19.173858333333335           0.03347            SNII 
  2021qzi   311.30778749999996    -5.6194194444444445          0.027365            SNII 
  2021qar            353.22325      13.35816111111111             0.041            SNII 
  2021ula    26.06567083333333    -11.091750000000001             0.047            SNII 
  2021rdc   251.36276249999995     28.910494444444442           0.03706            SNII 
  2021vfh   22.909879166666663     31.989988888888888             0.025            SNII 
  2021stu   2.2425791666666663              -14.54865             0.034            SNII 
  2021ont   246.67698333333334     39.145272222222225           0.02833            SNII 
  2021qcs   232.34512499999994     -12.24846111111111          0.011258            SNII 
  2021wvd    227.6456791666666     13.458452777777778             0.045            SNII 
  2021vaz    85.50716666666665      69.37686944444444          0.013122            SNII 
  2021qqu    54.46637916666666             -14.976025             0.002            SNII 
  2021tsz   354.49329166666666    -0.4415305555555556              0.04            SNII 
  2021qmz   196.94972083333332      42.09682222222222          0.051738            SNII 
  2021qiu    326.4586749999999              15.183725         0.0291694            SNII 
  2021sic    9.889291666666665     12.244880555555556              0.04            SNII 
  2021uth    52.26220833333333      9.290711111111111             0.047            SNII 
  2021uux   240.00344999999996      50.80158333333333             0.032            SNII 
  2021qgr   18.907333333333334     -6.591461111111111          0.021138            SNII 
  2021sev           202.145625      32.15121111111111            0.0511            SNII 
  2021uuh   28.970249999999997    -10.473019444444445             0.053            SNII 
  2021skn   246.20420833333327     39.734655555555555           0.02974            SNII 
  2021oul   359.18637499999994      79.27286944444444             0.034            SNII 
  2021omy   264.64826249999993      73.23891666666667             0.054            SNII 
  2021wel    246.1654166666666      41.01958611111111          0.027119            SNII 
  2021tlm   329.86433333333326      33.17748888888889             0.022            SNII 
  2021tmb   232.52349999999998      73.76516111111111              0.06            SNII 
  2021rhk               210.76      8.765669444444445          0.022596            SNII 
  2021pnu   219.78745416666666     12.226302777777779          0.048254            SNII 
  2021tyw    346.4852499999999                14.3577             0.013            SNII 
  2021pni    268.0743333333333      8.239761111111111             0.033            SNII 
  2021wzr    344.4103458333333     14.501761111111112            0.0633            SNII 
  2021pla   241.40912499999996      69.59478888888889          0.023646            SNII 
  2021tyf   220.63774999999995      4.437661111111112           0.02724            SNII 
  2021rlg   221.11499166666664     -6.255488888888889             0.062            SNII 
  2021txr    337.7095833333333      36.56338888888889            0.0264            SNII 
  2021rsu    56.28483333333333                 2.2069             0.016            SNII 
  2021tiq   339.22802916666666              -12.56165           0.02388            SNII 
  2021ued    350.4224291666667     26.485966666666666             0.031            SNII 
  2021wvz   312.78689999999995     -18.62596388888889              0.02            SNII 
  2021tcv    32.89166249999999      43.97979166666667             0.017            SNII 
  2021uks    315.9508541666666    -26.521316666666667             0.034            SNII 
  2021sau   3.1514583333333333    -20.318316666666668      0.0268719997            SNII 
  2021sul    48.30620833333333    -13.781169444444446              0.03            SNII 
  2021vgn   245.29379166666666     36.061211111111106      0.0323409997            SNII 
  2021cwe   236.37999999999997      30.16198888888889          0.031681           SNIIP 
  2020zjk    80.50011666666664     -7.189094444444445            0.0368           SNIIP 
