     Name                   RA                    DEC          Redshift  Classification 
  2021loi   15.165104166666666      39.70841111111111             0.083             AGN 
  2020oio            257.76525      6.736330555555556             0.257             AGN 
  2021ecs   264.03859166666666      69.16734444444445             0.182             AGN 
  2020vdo   118.66624999999999               10.31945             0.174             AGN 
  2019avd    125.9031958333333      4.384016666666667             0.028             AGN 
 2020adgg   124.21324166666666              18.047225             0.162             AGN 
 2020acob    153.2010083333333     -26.74188888888889            0.0444             AGN 
  2019pcn   309.11829166666666     -8.553500000000001             0.145             AGN 
  2021tdp    354.4580083333333    -22.065822222222224            0.0496             AGN 
  2021swi   10.346666666666666    -15.618730555555556             0.055             AGN 
  2021vkq    287.1364333333333     34.566855555555556             0.056             AGN 
  2020wgy    301.4387416666666      8.838922222222223               0.0              CV 
  2020znv   108.07862499999999      38.43951944444444               0.0              CV 
  2020xuq   3.4267499999999997     28.919161111111112               0.0              CV 
  2020tjb   306.44252916666665      8.426977777777777               0.0              CV 
  2020hhg   261.09420833333326     42.668949999999995               0.0              CV 
  2019rll    32.47364999999999      36.09281666666667               0.0              CV 
  2020krl   277.63342083333333      42.68771666666667               0.0              CV 
  2020lhs   305.75962499999997     21.396830555555557               0.0              CV 
  2019ngp   347.63874166666665      10.69278888888889               0.0              CV 
  2019slj   350.07739999999995     49.329888888888895               0.0              CV 
  2019tlu   342.78087916666664      53.83751111111111               0.0              CV 
   2018qq            149.63675    -27.830861111111112               0.0              CV 
  2021plg   219.82142916666666     -18.07746388888889               0.0              CV 
  2021qct    298.3797041666666      67.08518333333333               0.0              CV 
  2021qea   267.39639583333326     17.216930555555553               0.0              CV 
  2021qeb   235.57458749999995     3.5425166666666668               0.0              CV 
  2021rhi   277.81752499999993      37.39788055555555               0.0              CV 
  2021rjv    330.0912124999999     -7.357308333333333               0.0              CV 
  2021rmx   312.55434166666663      62.79933888888889               0.0              CV 
  2021rmy   299.64089166666656      8.993527777777777               0.0              CV 
  2021tlq             293.1045     -9.325897222222222               0.0              CV 
  2021tqv          290.4906625     -26.73931388888889               0.0              CV 
  2021tyc           301.928625     13.440111111111111               0.0              CV 
  2021wur             33.58185      43.98736111111111               0.0              CV 
  2021wcb   62.336549999999995      33.60073888888889               0.0              CV 
  2021vuv   284.52236249999993     28.733516666666667               0.0              CV 
  2021vfg    325.2855708333333              27.849975               0.0              CV 
  2021uwi          265.2146125     14.014022222222222               0.0              CV 
  2021uuo    303.8166166666666  -0.061311111111111115               0.0              CV 
  2021uum   319.87143749999996     32.888308333333335               0.0              CV 
  2021vch    233.8447083333333    -10.050069444444444               0.0              CV 
 2020adgk    92.38573749999999     63.194286111111104               0.0              CV 
   2021js    39.23920833333333      41.44363055555555               0.0              CV 
   2021xm    61.10648333333332      70.60886944444444               0.0              CV 
  2021ace   43.390299999999996    -20.798638888888892               0.0              CV 
  2021agv    99.21282499999998    -15.526016666666667               0.0              CV 
  2021bpd    125.7761208333333    -16.647780555555556               0.0              CV 
  2021bxp           155.149125     31.061777777777777               0.0              CV 
  2021icm   298.81564583333335     13.224186111111111               0.0              CV 
  2021iyz   112.27349999999998                0.60625               0.0              CV 
  2021ife              185.522    -19.621083333333335               0.0              CV 
  2021dxi    258.0763041666666                13.4276               0.0              CV 
  2021gtx   118.33145833333332              -12.16525               0.0              CV 
  2021gem   193.83185833333332     24.901102777777776               0.0              CV 
  2021kty   214.70319166666664     15.014119444444445             0.159          SLSN-I 
  2021nxq   216.33616249999997      37.76241666666667              0.15          SLSN-I 
  2021mkr   224.21904166666664               60.83475              0.28          SLSN-I 
